agent,step,gv,mode,truth,constraint,coherence,autonomy
recoverable_ai,81,0.964053,STABLE,0.985799,0.985799,0.94477,0.884736
recoverable_ai,82,0.963807,STABLE,0.983061,0.983061,0.946402,0.884736
recoverable_ai,83,0.955414,STABLE,0.97239,0.97239,0.939714,0.884736
recoverable_ai,84,0.964618,STABLE,0.979358,0.979358,0.950503,0.884736
recoverable_ai,85,0.963357,STABLE,0.976233,0.976233,0.950625,0.884736
recoverable_ai,86,0.967012,STABLE,0.978164,0.978164,0.95553,0.884736
recoverable_ai,87,0.974983,STABLE,0.984631,0.984631,0.964613,0.884736
recoverable_ai,88,0.98184,STABLE,0.990264,0.990264,0.972455,0.884736
recoverable_ai,89,0.990227,STABLE,0.997658,0.997658,0.981723,0.884736
recoverable_ai,90,0.990176,STABLE,0.996851,0.996851,0.982464,0.884736
recoverable_ai,91,0.986879,STABLE,0.992858,0.992858,0.979887,0.884736
recoverable_ai,92,0.987326,STABLE,0.992603,0.992603,0.980989,0.884736
recoverable_ai,93,0.971651,STABLE,0.976292,0.976292,0.965907,0.884736
recoverable_ai,94,0.95985,STABLE,0.963623,0.963623,0.954623,0.884736
recoverable_ai,95,0.913592,STABLE,0.949999,0.949999,0.884496,0.884736
recoverable_ai,96,0.926206,STABLE,0.957797,0.957797,0.900408,0.884736
recoverable_ai,97,0.924484,STABLE,0.951949,0.951949,0.901519,0.884736
recoverable_ai,98,0.928132,STABLE,0.95182,0.95182,0.907712,0.884736
recoverable_ai,99,0.948146,STABLE,0.968474,0.968474,0.92996,0.884736
recoverable_ai,100,0.94965,STABLE,0.967307,0.967307,0.933331,0.884736
recoverable_ai,101,0.961911,STABLE,0.977167,0.977167,0.947258,0.884736
recoverable_ai,102,0.956266,STABLE,0.969566,0.969566,0.943053,0.884736
recoverable_ai,103,0.958413,STABLE,0.969825,0.969825,0.946512,0.884736
recoverable_ai,104,0.952886,STABLE,0.962618,0.962618,0.942146,0.884736
recoverable_ai,105,0.953968,STABLE,0.962068,0.962068,0.944257,0.884736
recoverable_ai,106,0.966716,STABLE,0.973354,0.973354,0.957895,0.884736
recoverable_ai,107,0.952565,STABLE,0.958106,0.958106,0.944536,0.884736
recoverable_ai,108,0.961348,STABLE,0.965634,0.965634,0.953959,0.884736
recoverable_ai,109,0.967318,STABLE,0.970623,0.970623,0.960497,0.884736
recoverable_ai,110,0.964395,STABLE,0.966915,0.966915,0.95809,0.884736
recoverable_ai,111,0.953217,STABLE,0.954968,0.954968,0.947325,0.884736
recoverable_ai,112,0.958251,STABLE,0.959112,0.959112,0.952585,0.884736
recoverable_ai,113,0.956781,STABLE,0.956925,0.956925,0.951317,0.884736
recoverable_ai,114,0.963056,STABLE,0.962525,0.962525,0.957711,0.884736
recoverable_ai,115,0.966627,STABLE,0.965592,0.965592,0.961434,0.884736
recoverable_ai,116,0.985658,STABLE,0.984225,0.984225,0.980627,0.884736
recoverable_ai,117,0.984508,STABLE,0.98303,0.98303,0.979885,0.884736
recoverable_ai,118,0.975628,STABLE,0.974085,0.974085,0.971342,0.884736
recoverable_ai,119,0.979602,STABLE,0.977847,0.977847,0.975472,0.884736
recoverable_ai,120,0.983614,STABLE,0.981731,0.981731,0.979674,0.884736
recoverable_ai,121,0.997362,STABLE,0.996711,0.996711,0.996196,0.884736
recoverable_ai,122,1.0,STABLE,1.0,1.0,1.0,0.884736
recoverable_ai,123,1.0,STABLE,1.0,1.0,1.0,0.884736
recoverable_ai,124,1.0,STABLE,1.0,1.0,1.0,0.884736
recoverable_ai,125,0.988112,STABLE,0.988112,0.988112,0.988112,0.884736
recoverable_ai,126,0.982814,STABLE,0.982618,0.982618,0.982607,0.884736
recoverable_ai,127,0.975131,STABLE,0.974674,0.974674,0.97465,0.884736
recoverable_ai,128,0.97352,STABLE,0.9727,0.9727,0.972663,0.884736
recoverable_ai,129,0.96218,STABLE,0.961008,0.961008,0.960963,0.884736
recoverable_ai,130,0.887915,WATCH,0.949658,0.949658,0.840167,0.849347
recoverable_ai,131,0.884638,WATCH,0.938776,0.938776,0.842229,0.815373
recoverable_ai,132,0.886096,WATCH,0.933273,0.933273,0.848512,0.782758
recoverable_ai,133,0.900588,STABLE,0.94148,0.94148,0.8673,0.782758
recoverable_ai,134,0.918837,STABLE,0.954309,0.954309,0.889253,0.782758
recoverable_ai,135,0.946846,STABLE,0.977748,0.977748,0.920425,0.782758
recoverable_ai,136,0.977878,STABLE,1.0,1.0,0.957676,0.782758
recoverable_ai,137,0.982607,STABLE,1.0,1.0,0.965932,0.782758
recoverable_ai,138,0.974453,STABLE,0.990105,0.990105,0.959311,0.782758
recoverable_ai,139,0.955634,STABLE,0.969536,0.969536,0.941925,0.782758
recoverable_ai,140,0.962579,STABLE,0.974529,0.974529,0.950233,0.782758
recoverable_ai,141,0.958034,STABLE,0.968335,0.968335,0.946887,0.782758
recoverable_ai,142,0.957874,STABLE,0.966588,0.966588,0.947802,0.782758
recoverable_ai,143,0.95574,STABLE,0.963006,0.963006,0.946612,0.782758
recoverable_ai,144,0.958499,STABLE,0.96441,0.96441,0.950187,0.782758
recoverable_ai,145,0.973045,STABLE,0.977775,0.977775,0.965435,0.782758
recoverable_ai,146,0.977118,STABLE,0.981034,0.981034,0.97017,0.782758
recoverable_ai,147,0.977645,STABLE,0.980889,0.980889,0.9713,0.782758
recoverable_ai,148,0.969347,STABLE,0.971985,0.971985,0.963539,0.782758
recoverable_ai,149,0.955431,STABLE,0.957367,0.957367,0.950035,0.782758
recoverable_ai,150,0.954687,STABLE,0.955744,0.955744,0.949506,0.782758
recoverable_ai,151,0.958318,STABLE,0.95857,0.95857,0.953258,0.782758
recoverable_ai,152,0.979811,STABLE,0.979398,0.979398,0.974847,0.782758
recoverable_ai,153,0.982917,STABLE,0.982266,0.982266,0.978288,0.782758
recoverable_ai,154,0.993664,STABLE,0.993442,0.993442,0.990484,0.782758
recoverable_ai,155,0.989214,STABLE,0.988947,0.988947,0.986335,0.782758
recoverable_ai,156,0.978325,STABLE,0.977938,0.977938,0.975651,0.782758
recoverable_ai,157,0.970645,STABLE,0.969963,0.969963,0.967997,0.782758
recoverable_ai,158,0.96607,STABLE,0.964994,0.964994,0.963313,0.782758
recoverable_ai,159,0.990446,STABLE,0.988939,0.988939,0.987498,0.782758
recoverable_ai,160,0.906234,STABLE,0.983207,0.983207,0.846455,0.782758
recoverable_ai,161,0.907043,STABLE,0.975454,0.975454,0.853407,0.782758
recoverable_ai,162,0.925988,STABLE,0.986635,0.986635,0.877902,0.782758
recoverable_ai,163,0.93754,STABLE,0.9915,0.9915,0.894285,0.782758
recoverable_ai,164,0.942478,STABLE,0.99058,0.99058,0.903494,0.782758
recoverable_ai,165,0.948023,STABLE,0.990888,0.990888,0.912872,0.782758
recoverable_ai,166,0.946828,STABLE,0.985033,0.985033,0.915113,0.782758
recoverable_ai,167,0.956696,STABLE,0.990631,0.990631,0.928113,0.782758
recoverable_ai,168,0.956557,STABLE,0.986793,0.986793,0.930742,0.782758
recoverable_ai,169,0.948681,STABLE,0.975541,0.975541,0.925384,0.782758
recoverable_ai,170,0.940989,STABLE,0.964621,0.964621,0.920032,0.782758
recoverable_ai,171,0.948491,STABLE,0.969035,0.969035,0.929692,0.782758
recoverable_ai,172,0.969302,STABLE,0.987179,0.987179,0.9524,0.782758
recoverable_ai,173,0.973913,STABLE,0.989754,0.989754,0.958626,0.782758
recoverable_ai,174,0.975281,STABLE,0.989346,0.989346,0.961441,0.782758
recoverable_ai,175,0.980547,STABLE,0.993014,0.993014,0.968019,0.782758
recoverable_ai,176,0.992754,STABLE,1.0,1.0,0.98375,0.782758
recoverable_ai,177,0.994282,STABLE,1.0,1.0,0.987172,0.782758
recoverable_ai,178,0.990711,STABLE,0.995891,0.995891,0.984268,0.782758
recoverable_ai,179,0.99814,STABLE,1.0,1.0,0.995778,0.782758
recoverable_ai,180,0.999808,STABLE,1.0,1.0,0.999466,0.782758
recoverable_ai,181,1.0,STABLE,1.0,1.0,1.0,0.782758
recoverable_ai,182,1.0,STABLE,1.0,1.0,1.0,0.782758
recoverable_ai,183,0.987755,STABLE,0.987755,0.987755,0.987755,0.782758
recoverable_ai,184,0.975205,STABLE,0.975004,0.975004,0.974992,0.782758
recoverable_ai,185,0.994001,STABLE,0.993413,0.993413,0.993382,0.782758
recoverable_ai,186,1.0,STABLE,1.0,1.0,1.0,0.782758
recoverable_ai,187,0.998205,STABLE,0.998205,0.998205,0.998205,0.782758
recoverable_ai,188,0.994539,STABLE,0.994509,0.994509,0.994508,0.782758
recoverable_ai,189,1.0,STABLE,1.0,1.0,1.0,0.782758
recoverable_ai,190,0.916869,STABLE,0.998559,0.998559,0.854132,0.782758
recoverable_ai,191,0.91685,STABLE,0.989721,0.989721,0.86047,0.782758
recoverable_ai,192,0.932075,STABLE,0.996936,0.996936,0.881454,0.782758
recoverable_ai,193,0.935343,STABLE,0.993223,0.993223,0.889774,0.782758
recoverable_ai,194,0.94209,STABLE,0.993686,0.993686,0.90107,0.782758
recoverable_ai,195,0.94652,STABLE,0.992532,0.992532,0.90956,0.782758
recoverable_ai,196,0.955458,STABLE,0.996475,0.996475,0.922144,0.782758
recoverable_ai,197,0.969895,STABLE,1.0,1.0,0.944557,0.782758
recoverable_ai,198,0.973565,STABLE,1.0,1.0,0.951007,0.782758
recoverable_ai,199,0.980175,STABLE,1.0,1.0,0.962454,0.782758
recoverable_ai,200,0.961695,STABLE,0.979498,0.979498,0.945616,0.782758
recoverable_ai,201,0.964965,STABLE,0.980569,0.980569,0.950489,0.782758
recoverable_ai,202,0.959952,STABLE,0.973614,0.973614,0.946907,0.782758
recoverable_ai,203,0.951635,STABLE,0.963431,0.963431,0.939899,0.782758
recoverable_ai,204,0.947486,STABLE,0.957429,0.957429,0.93694,0.782758
recoverable_ai,205,0.94914,STABLE,0.957323,0.957323,0.939633,0.782758
recoverable_ai,206,0.963107,STABLE,0.969725,0.969725,0.954482,0.782758
recoverable_ai,207,0.953309,STABLE,0.958762,0.958762,0.945453,0.782758
recoverable_ai,208,0.957986,STABLE,0.962203,0.962203,0.950758,0.782758
recoverable_ai,209,0.957053,STABLE,0.960234,0.960234,0.950359,0.782758
recoverable_ai,210,0.957755,STABLE,0.959979,0.959979,0.951486,0.782758
recoverable_ai,211,0.971678,STABLE,0.973048,0.973048,0.965746,0.782758
recoverable_ai,212,0.979641,STABLE,0.980478,0.980478,0.974107,0.782758
recoverable_ai,213,0.994047,STABLE,0.995335,0.995335,0.990225,0.782758
recoverable_ai,214,0.993026,STABLE,0.994145,0.994145,0.989576,0.782758
recoverable_ai,215,0.986688,STABLE,0.98763,0.98763,0.983561,0.782758
recoverable_ai,216,0.985664,STABLE,0.986332,0.986332,0.982769,0.782758
recoverable_ai,217,0.989397,STABLE,0.989796,0.989796,0.986692,0.782758
recoverable_ai,218,0.99212,STABLE,0.992337,0.992337,0.989615,0.782758
recoverable_ai,219,0.98198,STABLE,0.982075,0.982075,0.979678,0.782758
truth_drift_ai,0,1.0,STABLE,1.0,1.0,1.0,1.0
truth_drift_ai,1,1.0,STABLE,1.0,1.0,1.0,1.0
truth_drift_ai,2,1.0,STABLE,1.0,1.0,1.0,1.0
truth_drift_ai,3,1.0,STABLE,1.0,1.0,1.0,1.0
truth_drift_ai,4,0.991468,STABLE,0.991468,0.991468,0.991468,1.0
truth_drift_ai,5,0.98915,STABLE,0.988799,0.989153,0.988968,1.0
truth_drift_ai,6,0.975217,STABLE,0.974433,0.975231,0.974815,1.0
truth_drift_ai,7,0.970913,STABLE,0.969139,0.970948,0.970006,1.0
truth_drift_ai,8,0.975935,STABLE,0.973036,0.97601,0.974462,1.0
truth_drift_ai,9,0.989511,STABLE,0.985742,0.989642,0.987613,1.0
truth_drift_ai,10,0.982838,STABLE,0.978793,0.983031,0.980827,1.0
truth_drift_ai,11,0.977345,STABLE,0.972761,0.977603,0.975084,1.0
truth_drift_ai,12,0.957271,STABLE,0.951942,0.957599,0.954656,1.0
truth_drift_ai,13,0.958339,STABLE,0.951468,0.958754,0.954963,1.0
truth_drift_ai,14,0.950314,STABLE,0.942009,0.950836,0.946242,1.0
truth_drift_ai,15,0.948117,STABLE,0.938106,0.948766,0.943218,1.0
truth_drift_ai,16,0.94256,STABLE,0.930823,0.943359,0.936832,1.0
truth_drift_ai,17,0.945162,STABLE,0.931541,0.946132,0.938533,1.0
truth_drift_ai,18,0.930928,STABLE,0.915606,0.932088,0.923502,1.0
truth_drift_ai,19,0.9205,STABLE,0.902961,0.921873,0.912017,1.0
truth_drift_ai,20,0.836264,WATCH,0.780779,0.885417,0.806954,0.96
truth_drift_ai,21,0.835351,WATCH,0.775073,0.881966,0.804908,0.9216
truth_drift_ai,22,0.863716,WATCH,0.79884,0.908078,0.831956,0.884736
truth_drift_ai,23,0.900793,STABLE,0.832718,0.943159,0.868113,0.884736
truth_drift_ai,24,0.894598,WATCH,0.825018,0.935172,0.861618,0.849347
truth_drift_ai,25,0.896807,WATCH,0.825535,0.935742,0.863384,0.815373
truth_drift_ai,26,0.905931,STABLE,0.833137,0.943373,0.872088,0.815373
truth_drift_ai,27,0.928295,STABLE,0.854429,0.964375,0.894191,0.815373
truth_drift_ai,28,0.922014,STABLE,0.848054,0.956843,0.888062,0.815373
truth_drift_ai,29,0.923556,STABLE,0.849248,0.957221,0.889614,0.815373
truth_drift_ai,30,0.935214,STABLE,0.86064,0.967801,0.901297,0.815373
truth_drift_ai,31,0.942675,STABLE,0.868332,0.974261,0.908994,0.815373
truth_drift_ai,32,0.941541,STABLE,0.86773,0.972188,0.908219,0.815373
truth_drift_ai,33,0.942912,STABLE,0.869567,0.972674,0.909903,0.815373
truth_drift_ai,34,0.931789,STABLE,0.858948,0.960718,0.899098,0.815373
truth_drift_ai,35,0.932769,STABLE,0.859952,0.960913,0.900161,0.815373
truth_drift_ai,36,0.933401,STABLE,0.860649,0.960813,0.900885,0.815373
truth_drift_ai,37,0.938977,STABLE,0.866315,0.965706,0.906557,0.815373
truth_drift_ai,38,0.936313,STABLE,0.86397,0.962402,0.904089,0.815373
truth_drift_ai,39,0.944095,STABLE,0.87195,0.969584,0.912004,0.815373
truth_drift_ai,40,0.82221,CONSTRAIN,0.742218,0.975727,0.757286,0.587068
truth_drift_ai,41,0.857045,WATCH,0.751922,0.980836,0.793178,0.563586
truth_drift_ai,42,0.865797,WATCH,0.758407,0.982625,0.803442,0.541042
truth_drift_ai,43,0.873355,WATCH,0.764206,0.983766,0.812343,0.5194
truth_drift_ai,44,0.873126,WATCH,0.76265,0.977615,0.813324,0.498624
truth_drift_ai,45,0.883236,WATCH,0.771511,0.982249,0.824439,0.478679
truth_drift_ai,46,0.888487,WATCH,0.776022,0.98244,0.830672,0.459532
truth_drift_ai,47,0.914367,STABLE,0.802329,1.0,0.858503,0.459532
truth_drift_ai,48,0.931066,STABLE,0.822807,1.0,0.879574,0.459532
truth_drift_ai,49,0.937131,STABLE,0.830918,1.0,0.887395,0.459532
truth_drift_ai,50,0.932097,STABLE,0.827345,0.992369,0.883381,0.459532
truth_drift_ai,51,0.923916,STABLE,0.820365,0.981746,0.876066,0.459532
truth_drift_ai,52,0.939321,STABLE,0.836588,0.994855,0.89213,0.459532
truth_drift_ai,53,0.944437,STABLE,0.843137,0.99782,0.898137,0.459532
truth_drift_ai,54,0.950844,STABLE,0.851703,1.0,0.905911,0.459532
truth_drift_ai,55,0.93517,STABLE,0.837817,0.982554,0.891206,0.459532
truth_drift_ai,56,0.947269,STABLE,0.850983,0.992973,0.903935,0.459532
truth_drift_ai,57,0.953858,STABLE,0.859104,0.997978,0.911341,0.459532
truth_drift_ai,58,0.944388,STABLE,0.851381,0.987006,0.902767,0.459532
truth_drift_ai,59,0.941953,STABLE,0.850233,0.983144,0.901009,0.459532
truth_drift_ai,60,0.947048,STABLE,0.856464,0.986887,0.9067,0.459532
truth_drift_ai,61,0.94971,STABLE,0.860434,0.988271,0.910024,0.459532
truth_drift_ai,62,0.94877,STABLE,0.860862,0.986119,0.909763,0.459532
truth_drift_ai,63,0.949798,STABLE,0.863166,0.985995,0.91142,0.459532
truth_drift_ai,64,0.949291,STABLE,0.86393,0.984394,0.911532,0.459532
truth_drift_ai,65,0.952881,STABLE,0.868722,0.986943,0.915703,0.459532
truth_drift_ai,66,0.96807,STABLE,0.886587,1.0,0.932333,0.459532
truth_drift_ai,67,0.943304,STABLE,0.863643,0.974333,0.908392,0.459532
truth_drift_ai,68,0.943487,STABLE,0.864547,0.973649,0.908904,0.459532
truth_drift_ai,69,0.947797,STABLE,0.869563,0.977142,0.913534,0.459532
truth_drift_ai,70,0.868001,WATCH,0.754208,0.945412,0.814307,0.441151
truth_drift_ai,71,0.857577,WATCH,0.74254,0.931425,0.803935,0.423505
truth_drift_ai,72,0.868638,WATCH,0.751999,0.939204,0.8148,0.406565
truth_drift_ai,73,0.892914,WATCH,0.775224,0.960465,0.839018,0.390302
truth_drift_ai,74,0.882945,WATCH,0.76528,0.94772,0.829377,0.37469
truth_drift_ai,75,0.897592,WATCH,0.779552,0.959788,0.844133,0.359703
truth_drift_ai,76,0.899334,WATCH,0.781558,0.959141,0.846217,0.345314
truth_drift_ai,77,0.903625,STABLE,0.786187,0.961208,0.85085,0.345314
truth_drift_ai,78,0.897713,WATCH,0.780789,0.953224,0.845331,0.331502
truth_drift_ai,79,0.899372,WATCH,0.782706,0.952948,0.847246,0.318242
truth_drift_ai,80,0.917262,STABLE,0.800921,0.969035,0.8654,0.318242
truth_drift_ai,81,0.926803,STABLE,0.811526,0.976893,0.87552,0.318242
truth_drift_ai,82,0.947226,STABLE,0.833372,0.995732,0.89667,0.318242
truth_drift_ai,83,0.957592,STABLE,0.849146,1.0,0.910039,0.318242
truth_drift_ai,84,0.961339,STABLE,0.857157,1.0,0.915913,0.318242
truth_drift_ai,85,0.96853,STABLE,0.878025,1.0,0.929254,0.318242
truth_drift_ai,86,0.970418,STABLE,0.885342,1.0,0.933498,0.318242
truth_drift_ai,87,0.973264,STABLE,0.896374,1.0,0.939897,0.318242
truth_drift_ai,88,0.97094,STABLE,0.895895,0.997034,0.938373,0.318242
truth_drift_ai,89,0.972426,STABLE,0.899059,0.997894,0.940587,0.318242
truth_drift_ai,90,0.966199,STABLE,0.894507,0.991058,0.935086,0.318242
truth_drift_ai,91,0.975989,STABLE,0.906935,1.0,0.946022,0.318242
truth_drift_ai,92,0.964782,STABLE,0.897385,0.988217,0.935535,0.318242
truth_drift_ai,93,0.973941,STABLE,0.907672,0.996813,0.945179,0.318242
truth_drift_ai,94,0.972783,STABLE,0.907981,0.995116,0.944657,0.318242
truth_drift_ai,95,0.862763,WATCH,0.744482,0.958404,0.804208,0.305512
truth_drift_ai,96,0.888502,WATCH,0.768821,0.979339,0.830391,0.293292
truth_drift_ai,97,0.901585,STABLE,0.781677,0.988002,0.84419,0.293292
truth_drift_ai,98,0.890746,WATCH,0.771197,0.973069,0.834175,0.28156
truth_drift_ai,99,0.895652,WATCH,0.776018,0.974166,0.839642,0.270298
truth_drift_ai,100,0.88916,WATCH,0.769674,0.964141,0.833716,0.259486
truth_drift_ai,101,0.889612,WATCH,0.770019,0.96131,0.83456,0.249106
truth_drift_ai,102,0.910308,STABLE,0.790651,0.97896,0.8556,0.249106
truth_drift_ai,103,0.920889,STABLE,0.80205,0.986716,0.866841,0.249106
truth_drift_ai,104,0.917411,STABLE,0.799812,0.980598,0.864162,0.249106
truth_drift_ai,105,0.911021,STABLE,0.794479,0.971734,0.858461,0.249106
truth_drift_ai,106,0.915522,STABLE,0.79974,0.973916,0.863494,0.249106
truth_drift_ai,107,0.907235,STABLE,0.79238,0.963461,0.855785,0.249106
truth_drift_ai,108,0.904951,STABLE,0.790652,0.959147,0.853893,0.249106
truth_drift_ai,109,0.912647,STABLE,0.798796,0.964947,0.861913,0.249106
truth_drift_ai,110,0.928269,STABLE,0.815178,0.9788,0.877979,0.249106
