seed,scenario,t,mean,var,mean_rm,var_rm,mean_slope,var_slope,persistent_variance,drift_confirmed,breach,drift_mark,collapse,sentinel_fired
0,stable,0,1.000618367013543,5.154723392233551e-05,1.000618367013543,5.154723392233551e-05,0.0,0.0,0,0,0,0,0,0
0,stable,1,1.0012994344722843,0.00010325589828952572,1.0009589007429136,7.74015661059306e-05,0.0,0.0,0,0,0,0,0,0
0,stable,2,1.000749992405232,0.00015901659350985375,1.000889264630353,0.00010460657524057164,0.0,0.0,0,0,0,0,0,0
0,stable,3,0.9992824101252636,0.00025585844479008863,1.0004875510040807,0.0001424195426279509,0.0,0.0,0,0,0,0,0,0
0,stable,4,0.9985673231421729,0.0004271431800356169,1.0001035054316991,0.0001993642701094841,0.0,0.0,0,0,0,0,0,0
0,stable,5,0.9984504289003869,0.0004618982842134365,0.9998279926764805,0.0002431199391268095,-0.00027551275521864316,4.37556690173254e-05,0,0,0,0,0,0
0,stable,6,0.9978829949852976,0.0005009050048262122,0.9993720973384396,0.0003180129009441223,-0.00045589533804091253,7.489296181731282e-05,0,0,0,0,0,0
0,stable,7,0.9984796193631177,0.0006247776391609081,0.9989021281535785,0.00040493319108935274,-0.0004699691848610854,8.692029014523042e-05,0,0,0,0,0,0
0,stable,8,0.9987509247758942,0.0007300525880824683,0.9985689502153555,0.0005001058568514552,-0.0003331779382229616,9.517266576210243e-05,0,0,0,0,0,0
0,stable,9,0.998182960945217,0.0007867880021664905,0.9983857086853477,0.0005885941164141887,-0.00018324153000781607,8.848825956273357e-05,0,0,0,0,0,0
0,stable,10,0.9979761488905468,0.0008477686016509432,0.99828717964341,0.0006586983533500764,-9.852904193774492e-05,7.010423693588766e-05,0,0,0,0,0,0
0,stable,11,0.9981738567735672,0.0009140484646405035,0.9982410842889401,0.0007340567167545877,-4.609535446986612e-05,7.535836340451132e-05,0,0,0,0,0,0
0,stable,12,0.9981816901052476,0.0010265741458188222,0.9982908668089316,0.000821668240253356,4.9782519991548035e-05,8.761152349876823e-05,0,0,0,0,0,0
0,stable,13,0.9969193955227335,0.0010237604491821963,0.9980308295022011,0.0008881653752569039,-0.0002600373067305206,6.649713500354794e-05,0,0,0,0,0,0
0,stable,14,0.9971034812567088,0.0010595714106271849,0.9977562555823368,0.0009430851790143566,-0.000274573919864296,5.491980375745269e-05,0,0,0,0,0,0
0,stable,15,0.9953715541611878,0.0011665309810117977,0.9972876877849987,0.0010063756754885745,-0.0004685677973381708,6.329049647421788e-05,0,0,0,0,0,0
0,stable,16,0.9935610833775333,0.0012742259410124534,0.9965518435328297,0.001077451898715493,-0.0007358442521689934,7.10762232269185e-05,0,0,0,0,0,0
0,stable,17,0.99222172330542,0.0013854872410769385,0.9955598212881385,0.0011560250281215654,-0.000992022244691193,7.857312940607241e-05,0,0,0,0,0,0
