time,module,local_recovery_strength,local_persistence,local_directional,local_volatility,local_gv,global_resource,global_hysteresis,global_gv,coupling_gap
11,3,0.737013,0.837013,0.867013,0.162987,0.803013,1.0,0.0,0.99,-0.186987
11,4,0.764524,0.864524,0.894524,0.164524,0.829072,1.0,0.0,0.99,-0.160928
12,0,0.724757,0.824757,0.854757,0.175243,0.790757,1.0,0.0,0.99,-0.199243
12,1,0.744977,0.844977,0.874977,0.155023,0.810977,1.0,0.0,0.99,-0.179023
12,2,0.752441,0.852441,0.882441,0.152441,0.818197,1.0,0.0,0.99,-0.171803
12,3,0.758793,0.858793,0.888793,0.158793,0.823914,1.0,0.0,0.99,-0.166086
12,4,0.760668,0.860668,0.890668,0.160668,0.825602,1.0,0.0,0.99,-0.164398
13,0,0.7619,0.8619,0.8919,0.1619,0.82671,1.0,0.0,0.99,-0.16329
13,1,0.744769,0.844769,0.874769,0.155231,0.810769,1.0,0.0,0.99,-0.179231
13,2,0.743065,0.843065,0.873065,0.156935,0.809065,1.0,0.0,0.99,-0.180935
13,3,0.76287,0.86287,0.89287,0.16287,0.827583,1.0,0.0,0.99,-0.162417
13,4,0.74713,0.84713,0.87713,0.15287,0.81313,1.0,0.0,0.99,-0.17687
14,0,0.730865,0.830865,0.860865,0.169135,0.796865,1.0,0.0,0.99,-0.193135
14,1,0.733001,0.833001,0.863001,0.166999,0.799001,1.0,0.0,0.99,-0.190999
14,2,0.736208,0.836208,0.866208,0.163792,0.802208,1.0,0.0,0.99,-0.187792
14,3,0.757457,0.857457,0.887457,0.157457,0.822712,1.0,0.0,0.99,-0.167288
14,4,0.752136,0.852136,0.882136,0.152136,0.817923,1.0,0.0,0.99,-0.172077
15,0,0.760357,0.860357,0.890357,0.160357,0.825322,1.0,0.0,0.99,-0.164678
15,1,0.743591,0.843591,0.873591,0.156409,0.809591,1.0,0.0,0.99,-0.180409
15,2,0.752378,0.852378,0.882378,0.152378,0.81814,1.0,0.0,0.99,-0.17186
15,3,0.759384,0.859384,0.889384,0.159384,0.824445,1.0,0.0,0.99,-0.165555
15,4,0.74536,0.84536,0.87536,0.15464,0.81136,1.0,0.0,0.99,-0.17864
16,0,0.756852,0.856852,0.886852,0.156852,0.822166,1.0,0.0,0.99,-0.167834
16,1,0.740071,0.840071,0.870071,0.159929,0.806071,1.0,0.0,0.99,-0.183929
16,2,0.744554,0.844554,0.874554,0.155446,0.810554,1.0,0.0,0.99,-0.179446
16,3,0.744274,0.844274,0.874274,0.155726,0.810274,1.0,0.0,0.99,-0.179726
16,4,0.732062,0.832062,0.862062,0.167938,0.798062,1.0,0.0,0.99,-0.191938
17,0,0.757305,0.857305,0.887305,0.157305,0.822574,1.0,0.0,0.99,-0.167426
17,1,0.742959,0.842959,0.872959,0.157041,0.808959,1.0,0.0,0.99,-0.181041
17,2,0.750187,0.850187,0.880187,0.150187,0.816169,1.0,0.0,0.99,-0.173831
17,3,0.757211,0.857211,0.887211,0.157211,0.82249,1.0,0.0,0.99,-0.16751
17,4,0.756698,0.856698,0.886698,0.156698,0.822028,1.0,0.0,0.99,-0.167972
18,0,0.759981,0.859981,0.889981,0.159981,0.824983,1.0,0.0,0.99,-0.165017
18,1,0.748523,0.848523,0.878523,0.151477,0.814523,1.0,0.0,0.99,-0.175477
18,2,0.743651,0.843651,0.873651,0.156349,0.809651,1.0,0.0,0.99,-0.180349
18,3,0.748804,0.848804,0.878804,0.151196,0.814804,1.0,0.0,0.99,-0.175196
18,4,0.72469,0.82469,0.85469,0.17531,0.79069,1.0,0.0,0.99,-0.19931
19,0,0.728293,0.828293,0.858293,0.171707,0.794293,1.0,0.0,0.99,-0.195707
19,1,0.73016,0.83016,0.86016,0.16984,0.79616,1.0,0.0,0.99,-0.19384
19,2,0.735041,0.835041,0.865041,0.164959,0.801041,1.0,0.0,0.99,-0.188959
19,3,0.755997,0.855997,0.885997,0.155997,0.821397,1.0,0.0,0.99,-0.168603
19,4,0.736418,0.836418,0.866418,0.163582,0.802418,1.0,0.0,0.99,-0.187582
20,0,0.649328,0.824328,0.856578,0.275672,0.755778,1.0,0.0,0.99,-0.234222
20,1,0.674488,0.849488,0.881738,0.289488,0.77899,1.0,0.0,0.99,-0.21101
20,2,0.649656,0.824656,0.856906,0.275344,0.756106,1.0,0.0,0.99,-0.233894
20,3,0.666063,0.841063,0.873313,0.281063,0.771406,1.0,0.0,0.99,-0.218594
20,4,0.640996,0.815996,0.848246,0.284004,0.747446,1.0,0.0,0.99,-0.242554
21,0,0.771918,0.856918,0.883168,0.153082,0.827668,1.0,0.0,0.99,-0.162332
21,1,0.76075,0.84575,0.872,0.16425,0.8165,1.0,0.0,0.99,-0.1735
21,2,0.769915,0.854915,0.881165,0.155085,0.825665,1.0,0.0,0.99,-0.164335
21,3,0.787605,0.872605,0.898855,0.162605,0.842094,1.0,0.0,0.99,-0.147906
21,4,0.74909,0.83409,0.86034,0.17591,0.80484,1.0,0.0,0.99,-0.18516
22,0,0.781516,0.866516,0.892766,0.156516,0.836615,1.0,0.0,0.99,-0.153385
22,1,0.778566,0.863566,0.889816,0.153566,0.833959,1.0,0.0,0.99,-0.156041
22,2,0.766088,0.851088,0.877338,0.158912,0.821838,1.0,0.0,0.99,-0.168162
22,3,0.753309,0.838309,0.864559,0.171691,0.809059,1.0,0.0,0.99,-0.180941
22,4,0.776082,0.861082,0.887332,0.151082,0.831724,1.0,0.0,0.99,-0.158276
23,0,0.767058,0.852058,0.878308,0.157942,0.822808,1.0,0.0,0.99,-0.167192
23,1,0.77849,0.86349,0.88974,0.15349,0.833891,1.0,0.0,0.99,-0.156109
23,2,0.775328,0.860328,0.886578,0.150328,0.831045,1.0,0.0,0.99,-0.158955
23,3,0.799027,0.884027,0.910277,0.174027,0.852374,1.0,0.0,0.99,-0.137626
23,4,0.77141,0.85641,0.88266,0.15359,0.82716,1.0,0.0,0.99,-0.16284
24,0,0.759648,0.844648,0.870898,0.165352,0.815398,1.0,0.0,0.99,-0.174602
24,1,0.777689,0.862689,0.888939,0.152689,0.83317,1.0,0.0,0.99,-0.15683
24,2,0.7783,0.8633,0.88955,0.1533,0.83372,1.0,0.0,0.99,-0.15628
24,3,0.795388,0.880388,0.906638,0.170388,0.849099,1.0,0.0,0.99,-0.140901
24,4,0.787527,0.872527,0.898777,0.162527,0.842024,1.0,0.0,0.99,-0.147976
25,0,0.685353,0.845353,0.873853,0.275353,0.781018,1.0,0.0,0.99,-0.208982
25,1,0.70195,0.86195,0.89045,0.29195,0.795955,1.0,0.0,0.99,-0.194045
25,2,0.662169,0.822169,0.850669,0.287831,0.758369,1.0,0.0,0.99,-0.231631
25,3,0.670404,0.830404,0.858904,0.279596,0.766604,1.0,0.0,0.99,-0.223396
25,4,0.666101,0.826101,0.854601,0.283899,0.762301,1.0,0.0,0.99,-0.227699
26,0,0.794153,0.864153,0.886653,0.155847,0.839653,1.0,0.0,0.99,-0.150347
26,1,0.77935,0.84935,0.87185,0.17065,0.82485,1.0,0.0,0.99,-0.16515
26,2,0.809527,0.879527,0.902027,0.159527,0.854075,1.0,0.0,0.99,-0.135925
26,3,0.796667,0.866667,0.889167,0.153333,0.842167,1.0,0.0,0.99,-0.147833
26,4,0.777938,0.847938,0.870438,0.172062,0.823438,1.0,0.0,0.99,-0.166562
27,0,0.784766,0.854766,0.877266,0.165234,0.830266,1.0,0.0,0.99,-0.159734
27,1,0.804703,0.874703,0.897203,0.154703,0.849732,1.0,0.0,0.99,-0.140268
27,2,0.812572,0.882572,0.905072,0.162572,0.856815,1.0,0.0,0.99,-0.133185
27,3,0.829951,0.899951,0.922451,0.179951,0.872456,1.0,0.0,0.99,-0.117544
27,4,0.843708,0.913708,0.936208,0.193708,0.884837,1.0,0.0,0.99,-0.105163
28,0,0.806216,0.876216,0.898716,0.156216,0.851095,1.0,0.0,0.99,-0.138905
28,1,0.785157,0.855157,0.877657,0.164843,0.830657,1.0,0.0,0.99,-0.159343
28,2,0.768019,0.838019,0.860519,0.181981,0.813519,1.0,0.0,0.99,-0.176481
28,3,0.804016,0.874016,0.896516,0.154016,0.849114,1.0,0.0,0.99,-0.140886
28,4,0.787806,0.857806,0.880306,0.162194,0.833306,1.0,0.0,0.99,-0.156694
29,0,0.79377,0.86377,0.88627,0.15623,0.83927,1.0,0.0,0.99,-0.15073
29,1,0.790819,0.860819,0.883319,0.159181,0.836319,1.0,0.0,0.99,-0.153681
29,2,0.797888,0.867888,0.890388,0.152112,0.843388,1.0,0.0,0.99,-0.146612
29,3,0.81599,0.88599,0.90849,0.16599,0.859891,1.0,0.0,0.99,-0.130109
29,4,0.802356,0.872356,0.894856,0.152356,0.84762,1.0,0.0,0.99,-0.14238
30,0,0.70262,0.84762,0.87237,0.27238,0.78857,1.0,0.0,0.99,-0.20143
30,1,0.689465,0.834465,0.859215,0.285535,0.775415,1.0,0.0,0.99,-0.214585
30,2,0.67988,0.82488,0.84963,0.29512,0.76583,1.0,0.0,0.99,-0.22417
30,3,0.697705,0.842705,0.867455,0.277295,0.783655,1.0,0.0,0.99,-0.206345
30,4,0.704193,0.849193,0.873943,0.270807,0.790143,1.0,0.0,0.99,-0.199857
31,0,0.851519,0.906519,0.925269,0.176519,0.884117,1.0,0.0,0.99,-0.105883
31,1,0.826954,0.881954,0.900704,0.151954,0.862009,1.0,0.0,0.99,-0.127991
31,2,0.839741,0.894741,0.913491,0.164741,0.873517,1.0,0.0,0.99,-0.116483
31,3,0.817511,0.872511,0.891261,0.157489,0.852761,1.0,0.0,0.99,-0.137239
31,4,0.807226,0.862226,0.880976,0.167774,0.842476,1.0,0.0,0.99,-0.147524
32,0,0.810523,0.865523,0.884273,0.164477,0.845773,1.0,0.0,0.99,-0.144227
32,1,0.814122,0.869122,0.887872,0.160878,0.849372,1.0,0.0,0.99,-0.140628
32,2,0.856927,0.911927,0.930677,0.181927,0.888984,1.0,0.0,0.99,-0.101016
32,3,0.812679,0.867679,0.886429,0.162321,0.847929,1.0,0.0,0.99,-0.142071
32,4,0.837577,0.892577,0.911327,0.162577,0.87157,1.0,0.0,0.99,-0.11843
33,0,0.811456,0.866456,0.885206,0.163544,0.846706,1.0,0.0,0.99,-0.143294
33,1,0.838974,0.893974,0.912724,0.163974,0.872826,1.0,0.0,0.99,-0.117174
33,2,0.830774,0.885774,0.904524,0.155774,0.865447,1.0,0.0,0.99,-0.124553
33,3,0.82265,0.87765,0.8964,0.15235,0.8579,1.0,0.0,0.99,-0.1321
33,4,0.824389,0.879389,0.898139,0.150611,0.859639,1.0,0.0,0.99,-0.130361
34,0,0.815178,0.870178,0.888928,0.159822,0.850428,1.0,0.0,0.99,-0.139572
34,1,0.831691,0.886691,0.905441,0.156691,0.866272,1.0,0.0,0.99,-0.123728
34,2,0.818175,0.873175,0.891925,0.156825,0.853425,1.0,0.0,0.99,-0.136575
34,3,0.806616,0.861616,0.880366,0.168384,0.841866,1.0,0.0,0.99,-0.148134
34,4,0.805831,0.860831,0.879581,0.169169,0.841081,1.0,0.0,0.99,-0.148919
35,0,0.732589,0.862589,0.883589,0.272589,0.80803,1.0,0.0,0.99,-0.18197
35,1,0.753686,0.883686,0.904686,0.293686,0.827018,1.0,0.0,0.99,-0.162982
35,2,0.7324,0.8624,0.8834,0.2724,0.80786,1.0,0.0,0.99,-0.18214
35,3,0.72822,0.85822,0.87922,0.27178,0.80392,1.0,0.0,0.99,-0.18608
35,4,0.734287,0.864287,0.885287,0.274287,0.809559,1.0,0.0,0.99,-0.180441
36,0,0.86959,0.90959,0.92459,0.16959,0.892631,1.0,0.0,0.99,-0.097369
36,1,0.853291,0.893291,0.908291,0.153291,0.877962,1.0,0.0,0.99,-0.112038
36,2,0.843836,0.883836,0.898836,0.156164,0.868836,1.0,0.0,0.99,-0.121164
36,3,0.866594,0.906594,0.921594,0.166594,0.889935,1.0,0.0,0.99,-0.100065
36,4,0.856431,0.896431,0.911431,0.156431,0.880788,1.0,0.0,0.99,-0.109212
37,0,0.873036,0.913036,0.928036,0.173036,0.895733,1.0,0.0,0.99,-0.094267
37,1,0.852749,0.892749,0.907749,0.152749,0.877474,1.0,0.0,0.99,-0.112526
37,2,0.831633,0.871633,0.886633,0.168367,0.856633,1.0,0.0,0.99,-0.133367
37,3,0.829478,0.869478,0.884478,0.170522,0.854478,1.0,0.0,0.99,-0.135522
37,4,0.874764,0.914764,0.929764,0.174764,0.897288,1.0,0.0,0.99,-0.092712
38,0,0.875855,0.915855,0.930855,0.175855,0.898269,1.0,0.0,0.99,-0.091731
38,1,0.847307,0.887307,0.902307,0.152693,0.872307,1.0,0.0,0.99,-0.117693
38,2,0.844252,0.884252,0.899252,0.155748,0.869252,1.0,0.0,0.99,-0.120748
38,3,0.871922,0.911922,0.926922,0.171922,0.894729,1.0,0.0,0.99,-0.095271
38,4,0.833394,0.873394,0.888394,0.166606,0.858394,1.0,0.0,0.99,-0.131606
39,0,0.836579,0.876579,0.891579,0.163421,0.861579,1.0,0.0,0.99,-0.128421
39,1,0.85965,0.89965,0.91465,0.15965,0.883685,1.0,0.0,0.99,-0.106315
39,2,0.844081,0.884081,0.899081,0.155919,0.869081,1.0,0.0,0.99,-0.120919
39,3,0.849923,0.889923,0.904923,0.150077,0.874923,1.0,0.0,0.99,-0.115077
39,4,0.847548,0.887548,0.902548,0.152452,0.872548,1.0,0.0,0.99,-0.117452
40,0,0.760064,0.875064,0.892314,0.275064,0.825007,1.0,0.0,0.99,-0.164993
40,1,0.776112,0.891112,0.908362,0.291112,0.839451,1.0,0.0,0.99,-0.150549
40,2,0.756359,0.871359,0.888609,0.271359,0.821673,1.0,0.0,0.99,-0.168327
40,3,0.764659,0.879659,0.896909,0.279659,0.829143,1.0,0.0,0.99,-0.160857
40,4,0.724247,0.839247,0.856497,0.300753,0.789697,1.0,0.0,0.99,-0.200303
41,0,0.874269,0.899269,0.910519,0.150731,0.889019,1.0,0.0,0.99,-0.100981
41,1,0.862352,0.887352,0.898602,0.162648,0.877102,1.0,0.0,0.99,-0.112898
41,2,0.856718,0.881718,0.892968,0.168282,0.871468,1.0,0.0,0.99,-0.118532
41,3,0.861828,0.886828,0.898078,0.163172,0.876578,1.0,0.0,0.99,-0.113422
41,4,0.869988,0.894988,0.906238,0.155012,0.884738,1.0,0.0,0.99,-0.105262
42,0,0.888739,0.913739,0.924989,0.163739,0.902115,1.0,0.0,0.99,-0.087885
42,1,0.855104,0.880104,0.891354,0.169896,0.869854,1.0,0.0,0.99,-0.120146
42,2,0.875459,0.900459,0.911709,0.150459,0.890164,1.0,0.0,0.99,-0.099836
42,3,0.867737,0.892737,0.903987,0.157263,0.882487,1.0,0.0,0.99,-0.107513
42,4,0.870085,0.895085,0.906335,0.154915,0.884835,1.0,0.0,0.99,-0.105165
43,0,0.890041,0.915041,0.926291,0.165041,0.903287,1.0,0.0,0.99,-0.086713
43,1,0.883072,0.908072,0.919322,0.158072,0.897015,1.0,0.0,0.99,-0.092985
43,2,0.895061,0.920061,0.931311,0.170061,0.907805,1.0,0.0,0.99,-0.082195
43,3,0.872682,0.897682,0.908932,0.152318,0.887432,1.0,0.0,0.99,-0.102568
43,4,0.864561,0.889561,0.900811,0.160439,0.879311,1.0,0.0,0.99,-0.110689
44,0,0.871642,0.896642,0.907892,0.153358,0.886392,1.0,0.0,0.99,-0.103608
44,1,0.878637,0.903637,0.914887,0.153637,0.893024,1.0,0.0,0.99,-0.096976
44,2,0.877649,0.902649,0.913899,0.152649,0.892134,1.0,0.0,0.99,-0.097866
44,3,0.858734,0.883734,0.894984,0.166266,0.873484,1.0,0.0,0.99,-0.116516
44,4,0.876357,0.901357,0.912607,0.151357,0.890972,1.0,0.0,0.99,-0.099028
45,0,0.783423,0.883423,0.896923,0.273423,0.838281,1.0,0.0,0.99,-0.151719
45,1,0.817762,0.917762,0.931262,0.307762,0.869186,1.0,0.0,0.99,-0.120814
45,2,0.808153,0.908153,0.921653,0.298153,0.860537,1.0,0.0,0.99,-0.129463
45,3,0.767201,0.867201,0.880701,0.282799,0.822401,1.0,0.0,0.99,-0.167599
45,4,0.775689,0.875689,0.889189,0.274311,0.830889,1.0,0.0,0.99,-0.159111
46,0,0.878048,0.888048,0.895548,0.171952,0.882548,0.994,0.008,0.9828,-0.100252
46,1,0.891139,0.901139,0.908639,0.158861,0.895639,0.994,0.008,0.9828,-0.087161
46,2,0.904734,0.914734,0.922234,0.154734,0.908761,0.994,0.008,0.9828,-0.074039
46,3,0.918088,0.928088,0.935588,0.168088,0.920779,0.994,0.008,0.9828,-0.062021
46,4,0.889064,0.899064,0.906564,0.160936,0.893564,0.994,0.008,0.9828,-0.089236
47,0,0.890188,0.900188,0.907688,0.159812,0.894688,0.988,0.016,0.9756,-0.080912
47,1,0.867791,0.877791,0.885291,0.182209,0.872291,0.988,0.016,0.9756,-0.103309
47,2,0.89756,0.90756,0.91506,0.15244,0.90206,0.988,0.016,0.9756,-0.07354
47,3,0.884064,0.894064,0.901564,0.165936,0.888564,0.988,0.016,0.9756,-0.087036
47,4,0.892058,0.902058,0.909558,0.157942,0.896558,0.988,0.016,0.9756,-0.079042
48,0,0.886847,0.896847,0.904347,0.163153,0.891347,0.982,0.024,0.9684,-0.077053
48,1,0.898586,0.908586,0.916086,0.151414,0.903086,0.982,0.024,0.9684,-0.065314
48,2,0.873634,0.883634,0.891134,0.176366,0.878134,0.982,0.024,0.9684,-0.090266
48,3,0.877994,0.887994,0.895494,0.172006,0.882494,0.982,0.024,0.9684,-0.085906
48,4,0.931939,0.941939,0.949439,0.181939,0.933245,0.982,0.024,0.9684,-0.035155
49,0,0.880689,0.890689,0.898189,0.169311,0.885189,0.976,0.032,0.9612,-0.076011
49,1,0.883548,0.893548,0.901048,0.166452,0.888048,0.976,0.032,0.9612,-0.073152
49,2,0.927554,0.937554,0.945054,0.177554,0.929298,0.976,0.032,0.9612,-0.031902
49,3,0.943576,0.953576,0.961076,0.193576,0.943718,0.976,0.032,0.9612,-0.017482
49,4,0.882427,0.892427,0.899927,0.167573,0.886927,0.976,0.032,0.9612,-0.074273
50,0,0.799476,0.884476,0.894226,0.275524,0.844426,0.97,0.04,0.954,-0.109574
50,1,0.810123,0.895123,0.904873,0.275123,0.854561,0.97,0.04,0.954,-0.099439
50,2,0.83093,0.91593,0.92568,0.29593,0.873287,0.97,0.04,0.954,-0.080713
50,3,0.790197,0.875197,0.884947,0.284803,0.835147,0.97,0.04,0.954,-0.118853
50,4,0.801321,0.886321,0.896071,0.273679,0.846271,0.97,0.04,0.954,-0.107729
51,0,0.93666,0.93166,0.93541,0.16166,0.929744,0.964,0.048,0.9468,-0.017056
51,1,0.931521,0.926521,0.930271,0.156521,0.925119,0.964,0.048,0.9468,-0.021681
51,2,0.919358,0.914358,0.918108,0.155642,0.913608,0.964,0.048,0.9468,-0.033192
51,3,0.922993,0.917993,0.921743,0.152007,0.917243,0.964,0.048,0.9468,-0.029557
51,4,0.904377,0.899377,0.903127,0.170623,0.898627,0.964,0.048,0.9468,-0.048173
52,0,0.921427,0.916427,0.920177,0.153573,0.915677,0.958,0.056,0.9396,-0.023923
52,1,0.921004,0.916004,0.919754,0.153996,0.915254,0.958,0.056,0.9396,-0.024346
52,2,0.928483,0.923483,0.927233,0.153483,0.922384,0.958,0.056,0.9396,-0.017216
52,3,0.91667,0.91167,0.91542,0.15833,0.91092,0.958,0.056,0.9396,-0.02868
52,4,0.932073,0.927073,0.930823,0.157073,0.925616,0.958,0.056,0.9396,-0.013984
53,0,0.940191,0.935191,0.938941,0.165191,0.932922,0.952,0.064,0.9324,0.000522
53,1,0.927331,0.922331,0.926081,0.152331,0.921348,0.952,0.064,0.9324,-0.011052
53,2,0.930276,0.925276,0.929026,0.155276,0.923999,0.952,0.064,0.9324,-0.008401
53,3,0.925797,0.920797,0.924547,0.150797,0.919968,0.952,0.064,0.9324,-0.012432
53,4,0.925001,0.920001,0.923751,0.150001,0.919251,0.952,0.064,0.9324,-0.013149
54,0,0.914177,0.909177,0.912927,0.160823,0.908427,0.946,0.072,0.9252,-0.016773
54,1,0.929747,0.924747,0.928497,0.154747,0.923523,0.946,0.072,0.9252,-0.001677
54,2,0.923541,0.918541,0.922291,0.151459,0.917791,0.946,0.072,0.9252,-0.007409
54,3,0.956398,0.951398,0.955148,0.181398,0.947508,0.946,0.072,0.9252,0.022308
54,4,0.9486,0.9436,0.94735,0.1736,0.94049,0.946,0.072,0.9252,0.01529
55,0,0.835788,0.905788,0.911788,0.275788,0.869909,0.94,0.08,0.918,-0.048091
55,1,0.818554,0.888554,0.894554,0.281446,0.853254,0.94,0.08,0.918,-0.064746
55,2,0.813314,0.883314,0.889314,0.286686,0.848014,0.94,0.08,0.918,-0.069986
55,3,0.847867,0.917867,0.923867,0.287867,0.88078,0.94,0.08,0.918,-0.03722
55,4,0.833941,0.903941,0.909941,0.273941,0.868247,0.94,0.08,0.918,-0.049753
56,0,0.957202,0.937202,0.937202,0.157202,0.940482,0.934,0.088,0.9108,0.029682
56,1,0.923831,0.903831,0.903831,0.176169,0.907831,0.934,0.088,0.9108,-0.002969
56,2,0.963912,0.943912,0.943912,0.163912,0.94652,0.934,0.088,0.9108,0.03572
56,3,0.956816,0.936816,0.936816,0.156816,0.940135,0.934,0.088,0.9108,0.029335
56,4,0.933344,0.913344,0.913344,0.166656,0.917344,0.934,0.088,0.9108,0.006544
57,0,0.942927,0.922927,0.922927,0.157073,0.926927,0.928,0.096,0.9036,0.023327
57,1,0.953956,0.933956,0.933956,0.153956,0.93756,0.928,0.096,0.9036,0.03396
57,2,0.950787,0.930787,0.930787,0.150787,0.934708,0.928,0.096,0.9036,0.031108
57,3,0.945617,0.925617,0.925617,0.154383,0.929617,0.928,0.096,0.9036,0.026017
57,4,0.948448,0.928448,0.928448,0.151552,0.932448,0.928,0.096,0.9036,0.028848
58,0,0.94622,0.92622,0.92622,0.15378,0.93022,0.922,0.104,0.8964,0.03382
58,1,0.952288,0.932288,0.932288,0.152288,0.93606,0.922,0.104,0.8964,0.03966
58,2,0.972072,0.952072,0.952072,0.172072,0.953865,0.922,0.104,0.8964,0.057465
58,3,0.9115,0.8915,0.8915,0.1885,0.8955,0.922,0.104,0.8964,-0.0009
