system,step,shared_future,fragmentation,coherence,survivability
competitive,123,0.0,1.0,1.0,0.74
competitive,124,0.0,1.0,1.0,0.74
competitive,125,0.0,1.0,1.0,0.74
competitive,126,0.0,1.0,1.0,0.74
competitive,127,0.0,1.0,1.0,0.74
competitive,128,0.0,1.0,1.0,0.74
competitive,129,0.0,1.0,1.0,0.74
competitive,130,0.0,1.0,1.0,0.74
competitive,131,0.0,1.0,1.0,0.74
competitive,132,0.0,1.0,1.0,0.74
competitive,133,0.0,1.0,1.0,0.74
competitive,134,0.0,1.0,1.0,0.74
competitive,135,0.0,1.0,1.0,0.74
competitive,136,0.0,1.0,1.0,0.74
competitive,137,0.0,1.0,1.0,0.74
competitive,138,0.0,1.0,1.0,0.74
competitive,139,0.0,1.0,1.0,0.74
competitive,140,0.0,1.0,1.0,0.74
competitive,141,0.0,1.0,1.0,0.74
competitive,142,0.0,1.0,1.0,0.74
competitive,143,0.0,1.0,1.0,0.74
competitive,144,0.0,1.0,1.0,0.74
competitive,145,0.0,1.0,1.0,0.74
competitive,146,0.0,1.0,1.0,0.74
competitive,147,0.0,1.0,1.0,0.74
competitive,148,0.0,1.0,1.0,0.74
competitive,149,0.0,1.0,1.0,0.74
competitive,150,0.0,1.0,1.0,0.74
competitive,151,0.0,1.0,1.0,0.74
competitive,152,0.0,1.0,1.0,0.74
competitive,153,0.0,1.0,1.0,0.74
competitive,154,0.0,1.0,1.0,0.74
competitive,155,0.0,1.0,1.0,0.74
competitive,156,0.0,1.0,1.0,0.74
competitive,157,0.0,1.0,1.0,0.74
competitive,158,0.0,1.0,1.0,0.74
competitive,159,0.0,1.0,1.0,0.74
competitive,160,0.0,1.0,1.0,0.74
competitive,161,0.0,1.0,1.0,0.74
competitive,162,0.0,1.0,1.0,0.74
competitive,163,0.0,1.0,1.0,0.74
competitive,164,0.0,1.0,1.0,0.74
competitive,165,0.0,1.0,1.0,0.74
competitive,166,0.0,1.0,1.0,0.74
competitive,167,0.0,1.0,1.0,0.74
competitive,168,0.0,1.0,1.0,0.74
competitive,169,0.0,1.0,1.0,0.74
competitive,170,0.0,1.0,1.0,0.74
competitive,171,0.0,1.0,1.0,0.74
competitive,172,0.0,1.0,1.0,0.74
competitive,173,0.0,1.0,1.0,0.74
competitive,174,0.0,1.0,1.0,0.74
competitive,175,0.0,1.0,1.0,0.74
competitive,176,0.0,1.0,1.0,0.74
competitive,177,0.0,1.0,1.0,0.74
competitive,178,0.0,1.0,1.0,0.74
competitive,179,0.0,1.0,1.0,0.74
competitive,180,0.0,1.0,1.0,0.74
competitive,181,0.0,1.0,1.0,0.74
competitive,182,0.0,1.0,1.0,0.74
competitive,183,0.0,1.0,1.0,0.74
competitive,184,0.0,1.0,1.0,0.74
competitive,185,0.0,1.0,1.0,0.74
competitive,186,0.0,1.0,1.0,0.74
competitive,187,0.0,1.0,1.0,0.74
competitive,188,0.0,1.0,1.0,0.74
competitive,189,0.0,1.0,1.0,0.74
competitive,190,0.0,1.0,1.0,0.74
competitive,191,0.0,1.0,1.0,0.74
competitive,192,0.0,1.0,1.0,0.74
competitive,193,0.0,1.0,1.0,0.74
competitive,194,0.0,1.0,1.0,0.74
competitive,195,0.0,1.0,1.0,0.74
competitive,196,0.0,1.0,1.0,0.74
competitive,197,0.0,1.0,1.0,0.74
competitive,198,0.0,1.0,1.0,0.74
competitive,199,0.0,1.0,1.0,0.74
competitive,200,-0.05,1.06,1.0,0.7133
competitive,201,-0.003125,1.00375,1.0,0.738331
competitive,202,0.0,1.0,1.0,0.74
competitive,203,0.0,1.0,1.0,0.74
competitive,204,0.0,1.0,1.0,0.74
competitive,205,0.0,1.0,1.0,0.74
competitive,206,0.0,1.0,1.0,0.74
competitive,207,0.0,1.0,1.0,0.74
competitive,208,0.0,1.0,1.0,0.74
competitive,209,0.0,1.0,1.0,0.74
competitive,210,0.0,1.0,1.0,0.74
competitive,211,0.0,1.0,1.0,0.74
competitive,212,0.0,1.0,1.0,0.74
competitive,213,0.0,1.0,1.0,0.74
competitive,214,0.0,1.0,1.0,0.74
competitive,215,0.0,1.0,1.0,0.74
competitive,216,0.0,1.0,1.0,0.74
competitive,217,0.0,1.0,1.0,0.74
competitive,218,0.0,1.0,1.0,0.74
competitive,219,0.0,1.0,1.0,0.74
competitive,220,0.0,1.0,1.0,0.74
competitive,221,0.0,1.0,1.0,0.74
competitive,222,0.0,1.0,1.0,0.74
competitive,223,0.0,1.0,1.0,0.74
competitive,224,0.0,1.0,1.0,0.74
competitive,225,0.0,1.0,1.0,0.74
competitive,226,0.0,1.0,1.0,0.74
competitive,227,0.0,1.0,1.0,0.74
competitive,228,0.0,1.0,1.0,0.74
competitive,229,0.0,1.0,1.0,0.74
competitive,230,0.0,1.0,1.0,0.74
competitive,231,0.0,1.0,1.0,0.74
competitive,232,0.0,1.0,1.0,0.74
competitive,233,0.0,1.0,1.0,0.74
competitive,234,0.0,1.0,1.0,0.74
competitive,235,0.0,1.0,1.0,0.74
competitive,236,0.0,1.0,1.0,0.74
competitive,237,0.0,1.0,1.0,0.74
competitive,238,0.0,1.0,1.0,0.74
competitive,239,0.0,1.0,1.0,0.74
competitive,240,0.0,1.0,1.0,0.74
competitive,241,0.0,1.0,1.0,0.74
competitive,242,0.0,1.0,1.0,0.74
competitive,243,0.0,1.0,1.0,0.74
competitive,244,0.0,1.0,1.0,0.74
competitive,245,0.0,1.0,1.0,0.74
competitive,246,0.0,1.0,1.0,0.74
competitive,247,0.0,1.0,1.0,0.74
competitive,248,0.0,1.0,1.0,0.74
competitive,249,0.0,1.0,1.0,0.74
competitive,250,0.0,1.0,1.0,0.74
competitive,251,0.0,1.0,1.0,0.74
competitive,252,0.0,1.0,1.0,0.74
competitive,253,0.0,1.0,1.0,0.74
competitive,254,0.0,1.0,1.0,0.74
competitive,255,0.0,1.0,1.0,0.74
competitive,256,0.0,1.0,1.0,0.74
competitive,257,0.0,1.0,1.0,0.74
competitive,258,0.0,1.0,1.0,0.74
competitive,259,0.0,1.0,1.0,0.74
competitive,260,0.0,1.0,1.0,0.74
competitive,261,0.0,1.0,1.0,0.74
competitive,262,0.0,1.0,1.0,0.74
competitive,263,0.0,1.0,1.0,0.74
competitive,264,0.0,1.0,1.0,0.74
competitive,265,0.0,1.0,1.0,0.74
competitive,266,0.0,1.0,1.0,0.74
competitive,267,0.0,1.0,1.0,0.74
competitive,268,0.0,1.0,1.0,0.74
competitive,269,0.0,1.0,1.0,0.74
competitive,270,0.0,1.0,1.0,0.74
competitive,271,0.0,1.0,1.0,0.74
competitive,272,0.0,1.0,1.0,0.74
competitive,273,0.0,1.0,1.0,0.74
competitive,274,0.0,1.0,1.0,0.74
competitive,275,0.0,1.0,1.0,0.74
competitive,276,0.0,1.0,1.0,0.74
competitive,277,0.0,1.0,1.0,0.74
competitive,278,0.0,1.0,1.0,0.74
competitive,279,0.0,1.0,1.0,0.74
competitive,280,0.0,1.0,1.0,0.74
competitive,281,0.0,1.0,1.0,0.74
competitive,282,0.0,1.0,1.0,0.74
competitive,283,0.0,1.0,1.0,0.74
competitive,284,0.0,1.0,1.0,0.74
competitive,285,0.0,1.0,1.0,0.74
competitive,286,0.0,1.0,1.0,0.74
competitive,287,0.0,1.0,1.0,0.74
competitive,288,0.0,1.0,1.0,0.74
competitive,289,0.0,1.0,1.0,0.74
competitive,290,0.0,1.0,1.0,0.74
competitive,291,0.0,1.0,1.0,0.74
competitive,292,0.0,1.0,1.0,0.74
competitive,293,0.0,1.0,1.0,0.74
competitive,294,0.0,1.0,1.0,0.74
competitive,295,0.0,1.0,1.0,0.74
competitive,296,0.0,1.0,1.0,0.74
competitive,297,0.0,1.0,1.0,0.74
competitive,298,0.0,1.0,1.0,0.74
competitive,299,0.0,1.0,1.0,0.74
competitive,300,-0.05,1.06,1.0,0.7133
competitive,301,0.0,1.0,1.0,0.74
competitive,302,0.0,1.0,1.0,0.74
competitive,303,0.0,1.0,1.0,0.74
competitive,304,0.0,1.0,1.0,0.74
competitive,305,0.0,1.0,1.0,0.74
competitive,306,0.0,1.0,1.0,0.74
competitive,307,0.0,1.0,1.0,0.74
competitive,308,0.0,1.0,1.0,0.74
competitive,309,0.0,1.0,1.0,0.74
competitive,310,0.0,1.0,1.0,0.74
competitive,311,0.0,1.0,1.0,0.74
competitive,312,0.0,1.0,1.0,0.74
competitive,313,0.0,1.0,1.0,0.74
competitive,314,0.0,1.0,1.0,0.74
competitive,315,0.0,1.0,1.0,0.74
competitive,316,0.0,1.0,1.0,0.74
competitive,317,0.0,1.0,1.0,0.74
competitive,318,0.0,1.0,1.0,0.74
competitive,319,0.0,1.0,1.0,0.74
competitive,320,0.0,1.0,1.0,0.74
competitive,321,0.0,1.0,1.0,0.74
competitive,322,0.0,1.0,1.0,0.74
competitive,323,0.0,1.0,1.0,0.74
competitive,324,0.0,1.0,1.0,0.74
competitive,325,0.0,1.0,1.0,0.74
competitive,326,0.0,1.0,1.0,0.74
competitive,327,0.0,1.0,1.0,0.74
competitive,328,0.0,1.0,1.0,0.74
competitive,329,0.0,1.0,1.0,0.74
competitive,330,0.0,1.0,1.0,0.74
competitive,331,0.0,1.0,1.0,0.74
competitive,332,0.0,1.0,1.0,0.74
competitive,333,0.0,1.0,1.0,0.74
competitive,334,0.0,1.0,1.0,0.74
competitive,335,0.0,1.0,1.0,0.74
competitive,336,0.0,1.0,1.0,0.74
competitive,337,0.0,1.0,1.0,0.74
competitive,338,0.0,1.0,1.0,0.74
competitive,339,0.0,1.0,1.0,0.74
competitive,340,0.0,1.0,1.0,0.74
