scarcity,fragmentation,visibility,coupling,antifragile_score,unification_score,margin_unification_minus_antifragile,winner,near_boundary
0.0,0.0,0.2,0.05,0.05613,0.313652,0.257521,unification,False
0.0,0.0,0.2,0.1,0.043625,0.33436,0.290734,unification,False
0.0,0.0,0.2,0.15,0.005552,0.431815,0.426263,unification,False
0.0,0.0,0.2,0.2,0.059477,0.494,0.434523,unification,False
0.0,0.0,0.2,0.25,-0.000466,0.559646,0.560112,unification,False
0.0,0.0,0.2,0.3,0.01765,0.620485,0.602835,unification,False
0.0,0.0,0.2,0.35,-0.042773,0.705157,0.74793,unification,False
0.0,0.0,0.2,0.4,-0.039281,0.778394,0.817675,unification,False
0.0,0.0,0.2,0.45,-0.062919,0.771888,0.834807,unification,False
0.0,0.0,0.2,0.5,-0.119204,0.906273,1.025477,unification,False
0.0,0.0,0.2,0.55,-0.059408,0.923012,0.98242,unification,False
0.0,0.0,0.2,0.6,-0.12958,1.026536,1.156116,unification,False
0.0,0.0,0.2,0.65,-0.165176,1.030132,1.195308,unification,False
0.0,0.0,0.2,0.7,-0.138917,1.105135,1.244052,unification,False
0.0,0.0,0.2,0.75,-0.172628,1.173414,1.346042,unification,False
0.0,0.0,0.2,0.8,-0.181561,1.275187,1.456748,unification,False
0.0,0.0,0.2,0.85,-0.205235,1.318598,1.523834,unification,False
0.0,0.0,0.2,0.9,-0.276254,1.363782,1.640036,unification,False
0.0,0.0,0.2,0.95,-0.263581,1.39703,1.66061,unification,False
0.0,0.0,0.2,1.0,-0.281954,1.481647,1.763601,unification,False
0.0,0.0,0.25,0.0,0.135398,0.26684,0.131443,unification,False
0.0,0.0,0.25,0.05,0.095766,0.350396,0.25463,unification,False
0.0,0.0,0.25,0.1,0.069308,0.450069,0.380761,unification,False
0.0,0.0,0.25,0.15,0.073453,0.520935,0.447482,unification,False
0.0,0.0,0.25,0.2,0.038637,0.532601,0.493964,unification,False
0.0,0.0,0.25,0.25,0.019404,0.618562,0.599159,unification,False
0.0,0.0,0.25,0.3,0.011914,0.64789,0.635976,unification,False
0.0,0.0,0.25,0.35,-0.007738,0.743206,0.750943,unification,False
0.0,0.0,0.25,0.4,0.035437,0.846921,0.811484,unification,False
0.0,0.0,0.25,0.45,-0.066331,0.855315,0.921646,unification,False
0.0,0.0,0.25,0.5,-0.099086,0.910232,1.009318,unification,False
0.0,0.0,0.25,0.55,-0.07211,1.017646,1.089756,unification,False
0.0,0.0,0.25,0.6,-0.115727,1.033646,1.149373,unification,False
0.0,0.0,0.25,0.65,-0.168682,1.108433,1.277116,unification,False
0.0,0.0,0.25,0.7,-0.15906,1.161764,1.320824,unification,False
0.0,0.0,0.25,0.75,-0.171922,1.235143,1.407065,unification,False
0.0,0.0,0.25,0.8,-0.211443,1.263324,1.474767,unification,False
0.0,0.0,0.25,0.85,-0.131769,1.330314,1.462083,unification,False
0.0,0.0,0.25,0.9,-0.22992,1.470923,1.700842,unification,False
0.0,0.0,0.25,0.95,-0.147373,1.458211,1.605584,unification,False
0.0,0.0,0.25,1.0,-0.246706,1.558539,1.805245,unification,False
0.0,0.0,0.3,0.0,0.178217,0.335329,0.157111,unification,False
0.0,0.0,0.3,0.05,0.111368,0.441933,0.330565,unification,False
0.0,0.0,0.3,0.1,0.110869,0.475596,0.364727,unification,False
0.0,0.0,0.3,0.15,0.079154,0.513128,0.433973,unification,False
0.0,0.0,0.3,0.2,0.059046,0.60334,0.544295,unification,False
0.0,0.0,0.3,0.25,0.053304,0.658617,0.605313,unification,False
0.0,0.0,0.3,0.3,0.041788,0.760318,0.718529,unification,False
0.0,0.0,0.3,0.35,0.016386,0.806294,0.789908,unification,False
0.0,0.0,0.3,0.4,-0.003671,0.860002,0.863673,unification,False
0.0,0.0,0.3,0.45,-0.040539,0.930412,0.970951,unification,False
0.0,0.0,0.3,0.5,-0.042432,1.037329,1.079761,unification,False
0.0,0.0,0.3,0.55,-0.018166,1.057146,1.075312,unification,False
0.0,0.0,0.3,0.6,-0.094076,1.08219,1.176266,unification,False
0.0,0.0,0.3,0.65,-0.062721,1.179069,1.24179,unification,False
0.0,0.0,0.3,0.7,-0.097996,1.191385,1.289382,unification,False
0.0,0.0,0.3,0.75,-0.104314,1.308861,1.413175,unification,False
0.0,0.0,0.3,0.8,-0.172761,1.348212,1.520973,unification,False
0.0,0.0,0.3,0.85,-0.155907,1.423812,1.579719,unification,False
0.0,0.0,0.3,0.9,-0.187304,1.482413,1.669717,unification,False
0.0,0.0,0.3,0.95,-0.203799,1.551314,1.755113,unification,False
0.0,0.0,0.3,1.0,-0.178213,1.545834,1.724046,unification,False
