seed,scenario,detector,collapse_expected,warning,lead_time,verdict
8,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
8,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
9,stable_dynamic,gv_recoverability,False,,,QUIET
9,stable_dynamic,rolling_z_score,False,,,QUIET
9,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
9,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
9,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
9,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
9,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
9,critical_slowing_dynamic,rolling_z_score,True,,,MISS
9,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
9,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
9,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
9,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
10,stable_dynamic,gv_recoverability,False,,,QUIET
10,stable_dynamic,rolling_z_score,False,,,QUIET
10,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
10,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
10,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
10,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
10,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
10,critical_slowing_dynamic,rolling_z_score,True,,,MISS
10,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
10,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
10,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
10,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
11,stable_dynamic,gv_recoverability,False,,,QUIET
11,stable_dynamic,rolling_z_score,False,,,QUIET
11,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
11,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
11,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
11,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
11,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
11,critical_slowing_dynamic,rolling_z_score,True,,,MISS
