name,returncode,expected_output,output_exists,started_utc,stdout,stderr
baseline_tournament,0,reports/gv_war_room/WAR_ROOM_BASELINE_TOURNAMENT.md,True,2026-05-14T07:22:46.109576,"{'gv_hits': 4, 'z_hits': 6, 'var_hits': 7, 'gv_unique': 1, 'gv_overlap': 3, 'battle_result': 'GV_SURVIVED_THIS_BATTLE'}",
transition_vs_magnitude,0,reports/gv_google_cluster/google_cluster_transition_pass.csv,True,2026-05-14T07:22:46.312604,"{'rows': 46, 'candidate_transition_points': 4, 'min_gv_transition': 0.4608, 'mean_gv_transition': 0.9045, 'battle': 'transition_vs_magnitude'}",
external_candidate_windows,0,reports/gv_external_traces/messy_queue_pressure.candidate_windows.csv,True,2026-05-14T07:22:46.477322,"{'input': 'reports/gv_external_traces/messy_queue_pressure.normalized.csv', 'output': 'reports/gv_external_traces/messy_queue_pressure.candidate_windows.csv', 'candidate_points': 14, 'windows': 1}",
