seed,probe_index,true_recovery_time,ac_risk,rl_risk,mean_risk,ac_rl_equal,ac_rl_fitted
0,120,1.0743511113676965,0.3529235884625874,0.08760374515883074,0.2231726692188066,0.22026366681070908,0.13027035680770777
0,170,1.2675745837390786,0.40685556564580194,0.10007034624255984,0.21562946247924283,0.2534629559441809,0.1494050874850681
0,220,1.5044948573296935,0.40822914678258515,0.10040900322585944,0.15879696288945788,0.2543190750042223,0.149910172679665
0,270,1.804454873038303,0.4734677987227398,0.11797024516771681,0.290907413065415,0.2957190219452283,0.17513851374042508
0,320,2.199273117867479,0.49435418079427884,0.12430033616705227,0.22862830942058424,0.30932725848066556,0.1838094308554864
0,370,2.745624788447456,0.4830059439544788,0.12081287944424568,0.2626208181012778,0.30190941169936225,0.17905786644916594
0,420,3.555585707820449,0.528555858207029,0.13557358978224499,0.36024212374945314,0.332064723994637,0.19876984989980703
0,470,4.886657343860002,0.7447004623934937,0.2533099983584448,0.4801403908548775,0.4990052303759693,0.33233147611855945
1,120,1.0743511113676965,0.2088614323153487,0.06002097432310172,0.17692953630660685,0.1344412033192252,0.08395630437501073
1,170,1.2675745837390786,0.22857675492176832,0.06345647881918393,0.18724737654695478,0.14601661687047612,0.09000979879743588
1,220,1.5044948573296935,0.2672231218735316,0.0704388399620991,0.1567613483685431,0.16883098091781534,0.10208411168535186
1,270,1.804454873038303,0.26660623192337796,0.07032435369951451,0.19205488063419243,0.16846529281144623,0.10188883288662844
1,320,2.199273117867479,0.30176536289624467,0.07703534066506112,0.29865229052771936,0.1894003517806529,0.1131746224654196
1,370,2.745624788447456,0.41472445526883994,0.10202614304321433,0.20901099156874398,0.25837529915602714,0.15231178050198318
1,420,3.555585707820449,0.5171048320607213,0.13166389568643166,0.24940677916332055,0.3243843638735765,0.19364741919934672
1,470,4.886657343860002,0.7627109518181762,0.26963178901398555,0.4773682695004034,0.5161713704160809,0.34892482978151695
2,120,1.0743511113676965,0.28863853195587375,0.07448345011223068,0.13896041444517404,0.1815609910340522,0.1089221547182605
2,170,1.2675745837390786,0.3274240019474487,0.08220308841133528,0.16300272471574478,0.204813545179392,0.12163755119310966
2,220,1.5044948573296935,0.25377149222703266,0.06796613135046692,0.2067496464116906,0.1608688117887498,0.09784586094808964
2,270,1.804454873038303,0.4965533153649684,0.12498993536431491,0.4543518229193088,0.31077162536464165,0.1847417814381948
2,320,2.199273117867479,0.658655562081367,0.19321634841476054,0.31835410847288576,0.42593595524806377,0.2680645539933239
2,370,2.745624788447456,0.6322939475597211,0.1790828103883756,0.333825110953388,0.40568837897404836,0.251964594667501
2,420,3.555585707820449,0.6752376470492584,0.20296714405439964,0.3590978274950474,0.439102395551829,0.2789139028553692
2,470,4.886657343860002,0.7846362034925966,0.291940881186873,0.5186492826418861,0.5382885423397348,0.37117219580049415
3,120,1.0743511113676965,0.21755751369277299,0.06152740430143511,0.1678216341621494,0.13954245899710405,0.08661891649304417
3,170,1.2675745837390786,0.35436020588833794,0.08791662074435935,0.19420135020764864,0.22113841331634865,0.1307639435533717
3,220,1.5044948573296935,0.5018838643840704,0.12668065131396344,0.21081788189880016,0.3142822578490169,0.1870178261823554
3,270,1.804454873038303,0.5539036520489143,0.14476713411539355,0.29685146016460384,0.34933539308215394,0.21056119122275418
3,320,2.199273117867479,0.5665936419417953,0.1496752989554757,0.29303368538703856,0.3581344704486355,0.21672076682545746
3,370,2.745624788447456,0.611183789593468,0.16881695469207203,0.33218638778755744,0.39000037214277,0.23995484515687288
3,420,3.555585707820449,0.7021914357333823,0.22048324069302772,0.3361842171815512,0.461337338213205,0.29794769352077183
3,470,4.886657343860002,0.8071711852069908,0.31824885953565585,0.4135065572050813,0.5627100223713233,0.3968734310570625
4,120,1.0743511113676965,0.27854478855754683,0.07255965139048814,0.2409629813628368,0.1755522199740175,0.10568453094533417
4,170,1.2675745837390786,0.45779789279094985,0.11346520210395661,0.24436329666673373,0.2856315474474532,0.1688380268750574
4,220,1.5044948573296935,0.42393557149107575,0.10436520087890733,0.22147246061736608,0.26415038618499154,0.15575594771342438
4,270,1.804454873038303,0.4737106225977792,0.11804164502280923,0.24939978654844727,0.2958761338102942,0.17523748063307976
4,320,2.199273117867479,0.5887951313409452,0.1588115861231154,0.3908959326510556,0.3738033587320303,0.2279580951469911
4,370,2.745624788447456,0.5696921104613156,0.1509071281351536,0.29838231320435715,0.3602996192982346,0.2182527739896007
4,420,3.555585707820449,0.6902038497822537,0.212418724893094,0.4730801510638153,0.45131128733767384,0.28925230100793164
4,470,4.886657343860002,0.7775467427137711,0.2844047905879321,0.4579708405696315,0.5309757666508517,0.3637079286311482
5,120,1.0743511113676965,0.32486460244921056,0.08167620539383236,0.2100770866200768,0.20327040392152146,0.12078381515823108
5,170,1.2675745837390786,0.36938132822247094,0.09124705684109857,0.28911910433051424,0.23031419253178476,0.13597438215346191
5,220,1.5044948573296935,0.3988481644763501,0.09811862687380568,0.23357661785812675,0.24848339567507788,0.14647954188288087
5,270,1.804454873038303,0.4848311728692606,0.12136591818947917,0.22686590588934114,0.3030985455293699,0.17981548862559604
5,320,2.199273117867479,0.6168154076961663,0.17147203410420953,0.35275518155904273,0.3941437209001879,0.24308858767534508
5,370,2.745624788447456,0.7205169946608081,0.23376158958847015,0.4392947844146544,0.4771392921246391,0.3120376942989512
