seed,probe_index,true_recovery_time,mean_risk,recovery_core_risk,ac_risk,rl_risk,pr_risk,va_risk,bd_risk
0,120,1.0743511113676965,0.2231726692188066,0.3214365528461385,0.3529235884625874,0.08760374515883074,0.5852097565258556,0.0,0.09012625594675916
0,170,1.2675745837390786,0.21562946247924283,0.30859903909067543,0.40685556564580194,0.10007034624255984,0.2631207542836955,0.1789537668613428,0.1291468793628141
0,220,1.5044948573296935,0.15879696288945788,0.3058517610244429,0.40822914678258515,0.10040900322585944,0.23874681432284617,0.0,0.04659985011599865
0,270,1.804454873038303,0.290907413065415,0.3778446934676988,0.4734677987227398,0.11797024516771681,0.42847635294750464,0.36964529339045216,0.06497737509866186
0,320,2.199273117867479,0.22862830942058424,0.3967107879796934,0.49435418079427884,0.12430033616705227,0.46015463640908716,0.0,0.06433239373250288
0,370,2.745624788447456,0.2626208181012778,0.3895425350776234,0.4830059439544788,0.12081287944424568,0.46357165895916475,0.0,0.24571360814849974
0,420,3.555585707820449,0.36024212374945314,0.456683799182347,0.528555858207029,0.13557358978224499,0.7043792454171229,0.3333259312253378,0.09937599411553111
0,470,4.886657343860002,0.4801403908548775,0.6310112159743834,0.7447004623934937,0.2533099983584448,0.8057562596578393,0.37203070922897274,0.2249045246356367
1,120,1.0743511113676965,0.17692953630660685,0.22414740811017178,0.2088614323153487,0.06002097432310172,0.5588353676012475,0.0,0.05692990729333636
1,170,1.2675745837390786,0.18724737654695478,0.19573189134738095,0.22857675492176832,0.06345647881918393,0.28481145793015994,0.31895058579893265,0.040441605264729064
1,220,1.5044948573296935,0.1567613483685431,0.22140454480141086,0.2672231218735316,0.0704388399620991,0.28973974457844764,0.11478122551612302,0.04162380991251424
1,270,1.804454873038303,0.19205488063419243,0.23470019079598464,0.26660623192337796,0.07032435369951451,0.3810357547805283,0.0,0.24230806276754135
1,320,2.199273117867479,0.29865229052771936,0.2619989197595376,0.30176536289624467,0.07703534066506112,0.41120577903683664,0.4888242794683345,0.21443069057211972
1,370,2.745624788447456,0.20901099156874398,0.3351034319893595,0.41472445526883994,0.10202614304321433,0.4050814871150129,0.0,0.12322287241665253
1,420,3.555585707820449,0.24940677916332055,0.37409851972152997,0.5171048320607213,0.13166389568643166,0.20613097708992834,0.31250678307081103,0.07962740790871026
1,470,4.886657343860002,0.4773682695004034,0.6307771274552043,0.7627109518181762,0.26963178901398555,0.7049507274053479,0.31908047614662716,0.3304674031178799
2,120,1.0743511113676965,0.13896041444517404,0.23728759863514085,0.28863853195587375,0.07448345011223068,0.30322411289039286,0.0,0.028455977267372923
2,170,1.2675745837390786,0.16300272471574478,0.26694592457299526,0.3274240019474487,0.08220308841133528,0.3329383420112817,0.0,0.07244819120865831
2,220,1.5044948573296935,0.2067496464116906,0.23457469814053758,0.25377149222703266,0.06796613135046692,0.4354684664446751,0.18557777374380602,0.09096436829247223
2,270,1.804454873038303,0.4543518229193088,0.4610048114024506,0.4965533153649684,0.12498993536431491,0.8788355889492724,0.5243002434508834,0.24708003146710467
2,320,2.199273117867479,0.31835410847288576,0.5373760474518905,0.658655562081367,0.19321634841476054,0.6258574873292019,0.07988799679053393,0.03415314774856559
2,370,2.745624788447456,0.333825110953388,0.5336751735758053,0.6322939475597211,0.1790828103883756,0.7301873496191916,0.0,0.1275614471996519
2,420,3.555585707820449,0.3590978274950474,0.5566494239422807,0.6752376470492584,0.20296714405439964,0.6717669979941719,0.09310470343373767,0.15241264494366902
2,470,4.886657343860002,0.5186492826418861,0.6627300987005992,0.7846362034925966,0.291940881186873,0.7930877087221531,0.47984188465089017,0.24373973515691838
3,120,1.0743511113676965,0.1678216341621494,0.21172538471674668,0.21755751369277299,0.06152740430143511,0.4387268361714942,0.11876970973382628,0.0025267069112184792
3,170,1.2675745837390786,0.19420135020764864,0.3090599979973948,0.35436020588833794,0.08791662074435935,0.49643146185534814,0.0,0.03229846255019775
3,220,1.5044948573296935,0.21081788189880016,0.38374132922198695,0.5018838643840704,0.12668065131396344,0.3396056517536927,0.0129406787707389,0.0729785632715354
3,270,1.804454873038303,0.29685146016460384,0.44408315707075385,0.5539036520489143,0.14476713411539355,0.5036612154170457,0.19886510016704528,0.08306019907462026
3,320,2.199273117867479,0.29303368538703856,0.4631923503765034,0.5665936419417953,0.1496752989554757,0.5721156031503822,0.10105437901263037,0.07572950387490918
3,370,2.745624788447456,0.33218638778755744,0.4811420565036033,0.611183789593468,0.16881695469207203,0.48151696049669657,0.260008405791193,0.13940582836435755
3,420,3.555585707820449,0.3361842171815512,0.5392907160222108,0.7021914357333823,0.22048324069302772,0.4190336293928304,0.0,0.33921278008851596
3,470,4.886657343860002,0.4135065572050813,0.6360088910267799,0.8071711852069908,0.31824885953565585,0.48095976679114316,0.4158096243878342,0.04534335010378243
4,120,1.0743511113676965,0.2409629813628368,0.24382534935394537,0.27854478855754683,0.07255965139048814,0.390390422478635,0.341543003076896,0.12177704131061817
4,170,1.2675745837390786,0.24436329666673373,0.37615982908454604,0.45779789279094985,0.11346520210395661,0.48743195255991334,0.11236989358146077,0.050751542297387986
4,220,1.5044948573296935,0.22147246061736608,0.34271617180368213,0.42393557149107575,0.10436520087890733,0.4150901912620657,0.0,0.1639713394547816
4,270,1.804454873038303,0.24939978654844727,0.3707321161961241,0.4737106225977792,0.11804164502280923,0.37996887587836226,0.07344938492189645,0.20182840432138927
4,320,2.199273117867479,0.3908959326510556,0.5145446073947053,0.5887951313409452,0.1588115861231154,0.8104308803957293,0.19866661869877122,0.19777544669671676
4,370,2.745624788447456,0.29838231320435715,0.48898693066677085,0.5696921104613156,0.1509071281351536,0.7296325490412868,0.0,0.04167977838402992
4,420,3.555585707820449,0.4730801510638153,0.5771916404851338,0.6902038497822537,0.212418724893094,0.7330976626167209,0.45680510235411864,0.272875415672889
4,470,4.886657343860002,0.4579708405696315,0.6506924547397134,0.7775467427137711,0.2844047905879321,0.7537547430964515,0.4121760700409355,0.06197185640906744
5,120,1.0743511113676965,0.2100770866200768,0.2982884596388663,0.32486460244921056,0.08167620539383236,0.5530043121392128,0.0,0.09084031311812824
5,170,1.2675745837390786,0.28911910433051424,0.31772960812178647,0.36938132822247094,0.09124705684109857,0.488593646520195,0.31312324714181305,0.18325024292699355
5,220,1.5044948573296935,0.23357661785812675,0.329349954040578,0.3988481644763501,0.09811862687380568,0.4367426575754433,0.18998458561592235,0.04418905474911228
5,270,1.804454873038303,0.22686590588934114,0.37977848737268777,0.4848311728692606,0.12136591818947917,0.3902553606917444,0.058332382824299644,0.07954469487192217
5,320,2.199273117867479,0.35275518155904273,0.5174801154884686,0.6168154076961663,0.17147203410420953,0.6968190822981098,0.02882391254206529,0.24984547115466238
5,370,2.745624788447456,0.4392947844146544,0.5850911959128559,0.7205169946608081,0.23376158958847015,0.6289373447950233,0.41058069000113717,0.2026773030278336
5,420,3.555585707820449,0.389638507027915,0.6349711490098999,0.782920082092672,0.2900865914188133,0.6179830126639553,0.0,0.2572028489641345
5,470,4.886657343860002,0.4208491989590322,0.5273977335867328,0.6414149866696927,0.18379696452128957,0.6439966696972985,0.4439651139846096,0.19107225992227084
6,120,1.0743511113676965,0.26203591264047793,0.29147996290037476,0.3555844941175784,0.08818401398759956,0.373888419552852,0.3076752011715228,0.1848474343728368
6,170,1.2675745837390786,0.18848089137148719,0.31391185561964063,0.40939090752876084,0.10069633375031739,0.28735485109869874,0.0,0.14496236447965893
6,220,1.5044948573296935,0.29815176322660575,0.41816543080221824,0.5271670672218239,0.13509172960042948,0.4539483871267769,0.2605365629596902,0.11401506922430837
6,270,1.804454873038303,0.35411694199188937,0.5186891873134011,0.6166782561255894,0.17140667367634121,0.7055371014597478,0.0,0.2769626786977686
6,320,2.199273117867479,0.30565938329915654,0.4526808305077738,0.5416885754392654,0.1402398610083342,0.6173847999475403,0.1368272959737198,0.09215638412692306
6,370,2.745624788447456,0.3042832726082298,0.4526804089117607,0.5700886770611624,0.1510657637220495,0.48573841163033915,0.17720831851612673,0.13731519211147136
6,420,3.555585707820449,0.31070923278407925,0.48750591767616347,0.5967644129425452,0.16227631829122058,0.5925212689188747,0.03926349871008661,0.16272066505766902
6,470,4.886657343860002,0.4771097306967773,0.6332965247517441,0.759332612776954,0.26644259017028726,0.740575396953333,0.3961096369877709,0.22308841659554124
7,120,1.0743511113676965,0.16755161158619117,0.23521187283670492,0.2759822214758727,0.07207628858522797,0.34402311869916224,0.0,0.1456764291706929
7,170,1.2675745837390786,0.16788562036552862,0.22582495119450668,0.26388544475178677,0.06982069111056877,0.3335900771052831,0.031117066360521473,0.14101482249948305
7,220,1.5044948573296935,0.2808674778322568,0.32876102481296765,0.4034148234463597,0.09922703057415228,0.41270248734409165,0.32574571405993913,0.16324733373674116
7,270,1.804454873038303,0.33626423927646293,0.48600588514137966,0.5979956024054973,0.16282087056775496,0.5766887070409501,0.17218206761497723,0.1716339487531351
7,320,2.199273117867479,0.36090622660425414,0.5172785522907094,0.5920847445911728,0.16022931899749815,0.8131358385775412,0.0,0.23908123085505883
7,370,2.745624788447456,0.29006549059480824,0.44034106871037737,0.5500678551423119,0.14332527691768493,0.49646024263712696,0.2096009055406305,0.050873172736286776
7,420,3.555585707820449,0.26940344052481213,0.46622194308642817,0.5918579934400248,0.1601310387342334,0.47382924892569966,0.05915502427257513,0.062043897251527924
7,470,4.886657343860002,0.3787256893569407,0.5728560066072972,0.6916072915899443,0.2133392580639425,0.6970454475823001,0.0,0.2916364495485164
8,120,1.0743511113676965,0.19262861881947066,0.27759601681806,0.2895232495283051,0.07465362532256958,0.5681244051362304,0.0,0.030841814110248222
8,170,1.2675745837390786,0.15596275578276952,0.23898268791443414,0.2694109506914091,0.07084574537343857,0.3974978743748603,0.0,0.04205920847413969
8,220,1.5044948573296935,0.2957300912399313,0.38031057996440953,0.4647345430184001,0.11543493014498518,0.4840741441141543,0.37070726653884145,0.04369957238327549
8,270,1.804454873038303,0.2841288265119262,0.4452083845858305,0.5216774764474418,0.1332079858146773,0.6593326817579741,0.0,0.106425988539538
8,320,2.199273117867479,0.3908763731400128,0.4818219002277772,0.5736823554374625,0.15251355525899168,0.6632273210036783,0.29596750745524647,0.2689911265446847
8,370,2.745624788447456,0.33462921877633267,0.5538896633044679,0.6566424867717204,0.19208031030655937,0.7458939577653054,0.0,0.07852933903807813
8,420,3.555585707820449,0.3983272774164049,0.5393125525948822,0.6532066456296028,0.19016405194889396,0.6656503481993138,0.3756409535281402,0.10697438777607349
8,470,4.886657343860002,0.30843863050007564,0.5323293514660483,0.649252002800508,0.18799312583060535,0.6385324555206148,0.0,0.06641556834865003
