seed,probe_index,rho,mean_risk,va_risk,ac_risk,measured_recovery_time,theoretical_recovery_time
0,120,0.39424040066777966,0.2231726692188066,0.0,0.3529235884625874,5.0,1.0743511113676965
0,170,0.4543405676126878,0.21562946247924283,0.1789537668613428,0.40685556564580194,6.0,1.2675745837390786
0,220,0.514440734557596,0.15879696288945788,0.0,0.40822914678258515,7.0,1.5044948573296935
0,270,0.5745409015025041,0.290907413065415,0.36964529339045216,0.4734677987227398,9.0,1.804454873038303
0,320,0.6346410684474123,0.22862830942058424,0.0,0.49435418079427884,11.0,2.199273117867479
0,370,0.6947412353923206,0.2626208181012778,0.0,0.4830059439544788,13.0,2.745624788447456
0,420,0.7548414023372287,0.36024212374945314,0.3333259312253378,0.528555858207029,17.0,3.555585707820449
0,470,0.8149415692821369,0.4801403908548775,0.37203070922897274,0.7447004623934937,23.0,4.886657343860002
1,120,0.39424040066777966,0.17692953630660685,0.0,0.2088614323153487,5.0,1.0743511113676965
1,170,0.4543405676126878,0.18724737654695478,0.31895058579893265,0.22857675492176832,6.0,1.2675745837390786
1,220,0.514440734557596,0.1567613483685431,0.11478122551612302,0.2672231218735316,7.0,1.5044948573296935
1,270,0.5745409015025041,0.19205488063419243,0.0,0.26660623192337796,9.0,1.804454873038303
1,320,0.6346410684474123,0.29865229052771936,0.4888242794683345,0.30176536289624467,11.0,2.199273117867479
1,370,0.6947412353923206,0.20901099156874398,0.0,0.41472445526883994,13.0,2.745624788447456
1,420,0.7548414023372287,0.24940677916332055,0.31250678307081103,0.5171048320607213,17.0,3.555585707820449
1,470,0.8149415692821369,0.4773682695004034,0.31908047614662716,0.7627109518181762,23.0,4.886657343860002
2,120,0.39424040066777966,0.13896041444517404,0.0,0.28863853195587375,5.0,1.0743511113676965
2,170,0.4543405676126878,0.16300272471574478,0.0,0.3274240019474487,6.0,1.2675745837390786
2,220,0.514440734557596,0.2067496464116906,0.18557777374380602,0.25377149222703266,7.0,1.5044948573296935
2,270,0.5745409015025041,0.4543518229193088,0.5243002434508834,0.4965533153649684,9.0,1.804454873038303
2,320,0.6346410684474123,0.31835410847288576,0.07988799679053393,0.658655562081367,11.0,2.199273117867479
2,370,0.6947412353923206,0.333825110953388,0.0,0.6322939475597211,13.0,2.745624788447456
2,420,0.7548414023372287,0.3590978274950474,0.09310470343373767,0.6752376470492584,17.0,3.555585707820449
2,470,0.8149415692821369,0.5186492826418861,0.47984188465089017,0.7846362034925966,23.0,4.886657343860002
3,120,0.39424040066777966,0.1678216341621494,0.11876970973382628,0.21755751369277299,5.0,1.0743511113676965
3,170,0.4543405676126878,0.19420135020764864,0.0,0.35436020588833794,6.0,1.2675745837390786
3,220,0.514440734557596,0.21081788189880016,0.0129406787707389,0.5018838643840704,7.0,1.5044948573296935
3,270,0.5745409015025041,0.29685146016460384,0.19886510016704528,0.5539036520489143,9.0,1.804454873038303
3,320,0.6346410684474123,0.29303368538703856,0.10105437901263037,0.5665936419417953,11.0,2.199273117867479
3,370,0.6947412353923206,0.33218638778755744,0.260008405791193,0.611183789593468,13.0,2.745624788447456
3,420,0.7548414023372287,0.3361842171815512,0.0,0.7021914357333823,17.0,3.555585707820449
3,470,0.8149415692821369,0.4135065572050813,0.4158096243878342,0.8071711852069908,23.0,4.886657343860002
4,120,0.39424040066777966,0.2409629813628368,0.341543003076896,0.27854478855754683,5.0,1.0743511113676965
4,170,0.4543405676126878,0.24436329666673373,0.11236989358146077,0.45779789279094985,6.0,1.2675745837390786
4,220,0.514440734557596,0.22147246061736608,0.0,0.42393557149107575,7.0,1.5044948573296935
4,270,0.5745409015025041,0.24939978654844727,0.07344938492189645,0.4737106225977792,9.0,1.804454873038303
