system,seed,has_collapse,metric,threshold,alert_index,lead_time,detected_before_collapse,false_positive
ar_degrade,1,True,recovery_core_risk,0.3,328,92,True,False
ar_degrade,1,True,recovery_core_risk,0.35,373,47,True,False
ar_degrade,1,True,recovery_core_risk,0.4,399,21,True,False
ar_degrade,1,True,recovery_core_risk,0.45,433,-13,False,False
ar_degrade,1,True,recovery_core_risk,0.5,433,-13,False,False
ar_degrade,1,True,recovery_core_risk,0.55,435,-15,False,False
ar_degrade,1,True,recovery_core_risk,0.6,438,-18,False,False
ar_degrade,1,True,recovery_core_risk,0.65,447,-27,False,False
ar_degrade,1,True,recovery_core_risk,0.7,450,-30,False,False
ar_degrade,1,True,recovery_core_risk,0.75,451,-31,False,False
ar_degrade,1,True,recovery_core_risk,0.8,460,-40,False,False
ar_degrade,1,True,recovery_core_risk,0.85,464,-44,False,False
ar_degrade,1,True,recovery_core_risk,0.9,484,-64,False,False
ar_degrade,1,True,ac_rl_core,0.3,373,47,True,False
ar_degrade,1,True,ac_rl_core,0.35,403,17,True,False
ar_degrade,1,True,ac_rl_core,0.4,434,-14,False,False
ar_degrade,1,True,ac_rl_core,0.45,436,-16,False,False
ar_degrade,1,True,ac_rl_core,0.5,446,-26,False,False
ar_degrade,1,True,ac_rl_core,0.55,449,-29,False,False
ar_degrade,1,True,ac_rl_core,0.6,451,-31,False,False
ar_degrade,1,True,ac_rl_core,0.65,453,-33,False,False
ar_degrade,1,True,ac_rl_core,0.7,461,-41,False,False
ar_degrade,1,True,ac_rl_core,0.75,464,-44,False,False
ar_degrade,1,True,ac_rl_core,0.8,469,-49,False,False
ar_degrade,1,True,ac_rl_core,0.85,487,-67,False,False
ar_degrade,1,True,ac_rl_core,0.9,548,-128,False,False
ar_degrade,1,True,ac_risk,0.3,226,194,True,False
ar_degrade,1,True,ac_risk,0.35,328,92,True,False
ar_degrade,1,True,ac_risk,0.4,338,82,True,False
ar_degrade,1,True,ac_risk,0.45,373,47,True,False
ar_degrade,1,True,ac_risk,0.5,384,36,True,False
ar_degrade,1,True,ac_risk,0.55,403,17,True,False
ar_degrade,1,True,ac_risk,0.6,433,-13,False,False
ar_degrade,1,True,ac_risk,0.65,434,-14,False,False
ar_degrade,1,True,ac_risk,0.7,437,-17,False,False
ar_degrade,1,True,ac_risk,0.75,446,-26,False,False
ar_degrade,1,True,ac_risk,0.8,450,-30,False,False
ar_degrade,1,True,ac_risk,0.85,452,-32,False,False
ar_degrade,1,True,ac_risk,0.9,460,-40,False,False
ar_degrade,1,True,rl_risk,0.3,449,-29,False,False
ar_degrade,1,True,rl_risk,0.35,451,-31,False,False
ar_degrade,1,True,rl_risk,0.4,452,-32,False,False
ar_degrade,1,True,rl_risk,0.45,456,-36,False,False
ar_degrade,1,True,rl_risk,0.5,461,-41,False,False
ar_degrade,1,True,rl_risk,0.55,463,-43,False,False
ar_degrade,1,True,rl_risk,0.6,465,-45,False,False
ar_degrade,1,True,rl_risk,0.65,469,-49,False,False
ar_degrade,1,True,rl_risk,0.7,480,-60,False,False
ar_degrade,1,True,rl_risk,0.75,488,-68,False,False
ar_degrade,1,True,rl_risk,0.8,545,-125,False,False
ar_degrade,1,True,rl_risk,0.85,553,-133,False,False
ar_degrade,1,True,rl_risk,0.9,566,-146,False,False
ar_degrade,1,True,va_risk,0.3,131,289,True,False
ar_degrade,1,True,va_risk,0.35,138,282,True,False
ar_degrade,1,True,va_risk,0.4,144,276,True,False
ar_degrade,1,True,va_risk,0.45,303,117,True,False
ar_degrade,1,True,va_risk,0.5,308,112,True,False
ar_degrade,1,True,va_risk,0.55,308,112,True,False
ar_degrade,1,True,va_risk,0.6,312,108,True,False
ar_degrade,1,True,va_risk,0.65,415,5,True,False
ar_degrade,1,True,va_risk,0.7,431,-11,False,False
ar_degrade,1,True,va_risk,0.75,435,-15,False,False
ar_degrade,1,True,va_risk,0.8,443,-23,False,False
ar_degrade,1,True,va_risk,0.85,445,-25,False,False
ar_degrade,1,True,va_risk,0.9,462,-42,False,False
ar_degrade,2,True,mean_risk,0.3,233,187,True,False
ar_degrade,2,True,mean_risk,0.35,234,186,True,False
ar_degrade,2,True,mean_risk,0.4,268,152,True,False
ar_degrade,2,True,mean_risk,0.45,270,150,True,False
ar_degrade,2,True,mean_risk,0.5,438,-18,False,False
ar_degrade,2,True,mean_risk,0.55,442,-22,False,False
ar_degrade,2,True,mean_risk,0.6,466,-46,False,False
ar_degrade,2,True,mean_risk,0.65,470,-50,False,False
ar_degrade,2,True,mean_risk,0.7,473,-53,False,False
ar_degrade,2,True,mean_risk,0.75,478,-58,False,False
ar_degrade,2,True,mean_risk,0.8,545,-125,False,False
ar_degrade,2,True,mean_risk,0.85,572,-152,False,False
ar_degrade,2,True,mean_risk,0.9,,,False,False
ar_degrade,2,True,recovery_core_risk,0.3,234,186,True,False
ar_degrade,2,True,recovery_core_risk,0.35,247,173,True,False
ar_degrade,2,True,recovery_core_risk,0.4,267,153,True,False
ar_degrade,2,True,recovery_core_risk,0.45,270,150,True,False
ar_degrade,2,True,recovery_core_risk,0.5,288,132,True,False
ar_degrade,2,True,recovery_core_risk,0.55,331,89,True,False
ar_degrade,2,True,recovery_core_risk,0.6,438,-18,False,False
ar_degrade,2,True,recovery_core_risk,0.65,442,-22,False,False
ar_degrade,2,True,recovery_core_risk,0.7,468,-48,False,False
ar_degrade,2,True,recovery_core_risk,0.75,472,-52,False,False
ar_degrade,2,True,recovery_core_risk,0.8,475,-55,False,False
ar_degrade,2,True,recovery_core_risk,0.85,481,-61,False,False
ar_degrade,2,True,recovery_core_risk,0.9,498,-78,False,False
ar_degrade,2,True,ac_rl_core,0.3,270,150,True,False
ar_degrade,2,True,ac_rl_core,0.35,288,132,True,False
ar_degrade,2,True,ac_rl_core,0.4,303,117,True,False
ar_degrade,2,True,ac_rl_core,0.45,358,62,True,False
ar_degrade,2,True,ac_rl_core,0.5,440,-20,False,False
ar_degrade,2,True,ac_rl_core,0.55,444,-24,False,False
ar_degrade,2,True,ac_rl_core,0.6,468,-48,False,False
ar_degrade,2,True,ac_rl_core,0.65,473,-53,False,False
ar_degrade,2,True,ac_rl_core,0.7,476,-56,False,False
ar_degrade,2,True,ac_rl_core,0.75,480,-60,False,False
ar_degrade,2,True,ac_rl_core,0.8,486,-66,False,False
ar_degrade,2,True,ac_rl_core,0.85,510,-90,False,False
ar_degrade,2,True,ac_rl_core,0.9,538,-118,False,False
ar_degrade,2,True,ac_risk,0.3,107,313,True,False
ar_degrade,2,True,ac_risk,0.35,236,184,True,False
ar_degrade,2,True,ac_risk,0.4,248,172,True,False
ar_degrade,2,True,ac_risk,0.45,267,153,True,False
ar_degrade,2,True,ac_risk,0.5,271,149,True,False
ar_degrade,2,True,ac_risk,0.55,280,140,True,False
ar_degrade,2,True,ac_risk,0.6,298,122,True,False
ar_degrade,2,True,ac_risk,0.65,317,103,True,False
ar_degrade,2,True,ac_risk,0.7,427,-7,False,False
ar_degrade,2,True,ac_risk,0.75,440,-20,False,False
ar_degrade,2,True,ac_risk,0.8,444,-24,False,False
ar_degrade,2,True,ac_risk,0.85,469,-49,False,False
ar_degrade,2,True,ac_risk,0.9,475,-55,False,False
ar_degrade,2,True,rl_risk,0.3,443,-23,False,False
ar_degrade,2,True,rl_risk,0.35,468,-48,False,False
ar_degrade,2,True,rl_risk,0.4,472,-52,False,False
ar_degrade,2,True,rl_risk,0.45,474,-54,False,False
ar_degrade,2,True,rl_risk,0.5,476,-56,False,False
ar_degrade,2,True,rl_risk,0.55,478,-58,False,False
ar_degrade,2,True,rl_risk,0.6,482,-62,False,False
ar_degrade,2,True,rl_risk,0.65,485,-65,False,False
ar_degrade,2,True,rl_risk,0.7,492,-72,False,False
ar_degrade,2,True,rl_risk,0.75,515,-95,False,False
ar_degrade,2,True,rl_risk,0.8,536,-116,False,False
ar_degrade,2,True,rl_risk,0.85,541,-121,False,False
ar_degrade,2,True,rl_risk,0.9,572,-152,False,False
ar_degrade,2,True,va_risk,0.3,209,211,True,False
