subset,num_components,threshold,detect_rate,false_positive_rate,median_lead_time,mean_lead_time,std_lead_time,utility
rl_risk+pr_risk+bd_risk,3,0.65,1.0,0.0,-58.0,-57.46,10.332879559929072,-58.0
rl_risk+pr_risk+bd_risk,3,0.7,1.0,0.0,-70.5,-71.74,11.037771514214272,-70.5
rl_risk+pr_risk+bd_risk,3,0.75,1.0,0.0,-95.0,-96.29,14.517089928770162,-95.0
rl_risk+pr_risk+bd_risk,3,0.8,1.0,0.0,-140.5,-139.63,12.737860887919917,-140.5
rl_risk+pr_risk+bd_risk,3,0.85,0.0,0.0,,,,
rl_risk+pr_risk+bd_risk,3,0.9,0.0,0.0,,,,
va_risk+pr_risk+bd_risk,3,0.3,1.0,1.0,271.5,259.73,59.05181707619165,0.0
va_risk+pr_risk+bd_risk,3,0.35,1.0,0.98,226.5,211.99,78.84357868590187,4.530000000000004
va_risk+pr_risk+bd_risk,3,0.4,1.0,0.77,155.0,156.05,96.09010094697581,35.65
va_risk+pr_risk+bd_risk,3,0.45,1.0,0.37,57.0,89.88,88.43226560481192,35.910000000000004
va_risk+pr_risk+bd_risk,3,0.5,1.0,0.12,24.0,45.34,71.8891118320431,21.12
va_risk+pr_risk+bd_risk,3,0.55,1.0,0.03,-5.5,9.53,49.25412774580421,-5.335
va_risk+pr_risk+bd_risk,3,0.6,1.0,0.0,-23.0,-14.84,32.714742853948884,-23.0
va_risk+pr_risk+bd_risk,3,0.65,1.0,0.0,-33.0,-30.39,15.909050883066532,-33.0
va_risk+pr_risk+bd_risk,3,0.7,1.0,0.0,-40.0,-42.56,14.069342557490028,-40.0
va_risk+pr_risk+bd_risk,3,0.75,1.0,0.0,-56.0,-63.04,24.009131596124003,-56.0
va_risk+pr_risk+bd_risk,3,0.8,0.7,0.0,-136.0,-128.55714285714285,36.47881409189477,-136.0
va_risk+pr_risk+bd_risk,3,0.85,0.0,0.0,,,,
va_risk+pr_risk+bd_risk,3,0.9,0.0,0.0,,,,
ac_risk+rl_risk+va_risk+pr_risk,4,0.3,1.0,1.0,273.5,265.96,48.866536607375814,0.0
ac_risk+rl_risk+va_risk+pr_risk,4,0.35,1.0,0.87,227.5,221.38,67.64181842617775,29.575
ac_risk+rl_risk+va_risk+pr_risk,4,0.4,1.0,0.47,163.0,158.2,82.33358974319047,86.39
ac_risk+rl_risk+va_risk+pr_risk,4,0.45,1.0,0.16,93.5,115.12,82.84253496845687,78.53999999999999
ac_risk+rl_risk+va_risk+pr_risk,4,0.5,1.0,0.04,43.0,61.88,63.16902405451583,41.28
ac_risk+rl_risk+va_risk+pr_risk,4,0.55,1.0,0.01,10.0,19.37,44.913618202055375,9.9
ac_risk+rl_risk+va_risk+pr_risk,4,0.6,1.0,0.0,-15.5,-4.09,30.726566680968446,-15.5
ac_risk+rl_risk+va_risk+pr_risk,4,0.65,1.0,0.0,-27.0,-21.61,23.33147873581955,-27.0
ac_risk+rl_risk+va_risk+pr_risk,4,0.7,1.0,0.0,-35.0,-33.27,16.825489591687962,-35.0
ac_risk+rl_risk+va_risk+pr_risk,4,0.75,1.0,0.0,-42.5,-44.29,13.603892825217347,-42.5
ac_risk+rl_risk+va_risk+pr_risk,4,0.8,1.0,0.0,-56.5,-58.46,17.42723156442239,-56.5
ac_risk+rl_risk+va_risk+pr_risk,4,0.85,1.0,0.0,-77.5,-80.92,22.460934976086815,-77.5
ac_risk+rl_risk+va_risk+pr_risk,4,0.9,1.0,0.0,-120.0,-119.46,24.8517283101196,-120.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.3,1.0,0.46,152.0,162.04,79.91106556666604,82.08000000000001
ac_risk+rl_risk+va_risk+bd_risk,4,0.35,1.0,0.03,70.5,87.41,66.366722836072,68.385
ac_risk+rl_risk+va_risk+bd_risk,4,0.4,1.0,0.0,25.0,32.78,42.174063119410256,25.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.45,1.0,0.0,-10.5,-1.53,30.495066814158648,-10.5
ac_risk+rl_risk+va_risk+bd_risk,4,0.5,1.0,0.0,-26.0,-22.6,18.226903192808155,-26.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.55,1.0,0.0,-33.5,-32.09,14.652027163501984,-33.5
ac_risk+rl_risk+va_risk+bd_risk,4,0.6,1.0,0.0,-41.0,-41.53,11.328243464897813,-41.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.65,1.0,0.0,-51.0,-51.34,13.818986938267217,-51.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.7,1.0,0.0,-62.5,-68.14,17.79383039145872,-62.5
ac_risk+rl_risk+va_risk+bd_risk,4,0.75,1.0,0.0,-99.0,-94.64,22.37521843468796,-99.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.8,1.0,0.0,-137.5,-137.2,20.915544458607812,-137.5
ac_risk+rl_risk+va_risk+bd_risk,4,0.85,0.23,0.0,-174.0,-172.6086956521739,4.660090785034527,-174.0
ac_risk+rl_risk+va_risk+bd_risk,4,0.9,0.0,0.0,,,,
ac_risk+rl_risk+pr_risk+bd_risk,4,0.3,1.0,0.86,247.5,239.48,59.64536528515858,34.650000000000006
ac_risk+rl_risk+pr_risk+bd_risk,4,0.35,1.0,0.42,189.5,187.09,75.14281003529213,109.91000000000001
ac_risk+rl_risk+pr_risk+bd_risk,4,0.4,1.0,0.13,115.0,125.79,73.73185132627555,100.05
ac_risk+rl_risk+pr_risk+bd_risk,4,0.45,1.0,0.02,42.0,52.75,59.74418381733907,41.16
ac_risk+rl_risk+pr_risk+bd_risk,4,0.5,1.0,0.0,-5.5,4.35,36.46186363860191,-5.5
ac_risk+rl_risk+pr_risk+bd_risk,4,0.55,1.0,0.0,-28.0,-19.85,24.67240361213313,-28.0
ac_risk+rl_risk+pr_risk+bd_risk,4,0.6,1.0,0.0,-35.0,-33.83,13.434325438964175,-35.0
ac_risk+rl_risk+pr_risk+bd_risk,4,0.65,1.0,0.0,-41.5,-42.88,9.808445340623559,-41.5
ac_risk+rl_risk+pr_risk+bd_risk,4,0.7,1.0,0.0,-53.5,-53.1,10.366773847248718,-53.5
ac_risk+rl_risk+pr_risk+bd_risk,4,0.75,1.0,0.0,-67.0,-68.09,10.69307719975873,-67.0
ac_risk+rl_risk+pr_risk+bd_risk,4,0.8,1.0,0.0,-91.0,-92.54,13.69556132475044,-91.0
ac_risk+rl_risk+pr_risk+bd_risk,4,0.85,1.0,0.0,-143.5,-144.23,11.953957503688894,-143.5
ac_risk+rl_risk+pr_risk+bd_risk,4,0.9,0.0,0.0,,,,
ac_risk+va_risk+pr_risk+bd_risk,4,0.3,1.0,1.0,288.0,274.27,47.760413524172925,0.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.35,1.0,0.93,238.5,229.56,68.16000586854435,16.69499999999999
ac_risk+va_risk+pr_risk+bd_risk,4,0.4,1.0,0.57,192.0,178.36,83.80388057840759,82.56
ac_risk+va_risk+pr_risk+bd_risk,4,0.45,1.0,0.22,95.5,120.01,83.78597675028918,74.49000000000001
ac_risk+va_risk+pr_risk+bd_risk,4,0.5,1.0,0.06,45.5,67.91,68.47599506396384,42.769999999999996
ac_risk+va_risk+pr_risk+bd_risk,4,0.55,1.0,0.02,10.0,18.24,41.256543723390116,9.8
ac_risk+va_risk+pr_risk+bd_risk,4,0.6,1.0,0.0,-16.0,-6.58,31.099897105939114,-16.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.65,1.0,0.0,-28.0,-23.01,19.407470211235673,-28.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.7,1.0,0.0,-35.0,-33.99,14.29859783335415,-35.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.75,1.0,0.0,-42.0,-45.14,13.659443619708673,-42.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.8,1.0,0.0,-63.0,-69.72,22.712586818766372,-63.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.85,0.59,0.0,-154.0,-149.11864406779662,23.573243052069785,-154.0
ac_risk+va_risk+pr_risk+bd_risk,4,0.9,0.0,0.0,,,,
rl_risk+va_risk+pr_risk+bd_risk,4,0.3,1.0,0.91,207.0,196.5,84.72207504540951,18.629999999999992
rl_risk+va_risk+pr_risk+bd_risk,4,0.35,1.0,0.47,110.5,133.11,93.07383037137775,58.565000000000005
rl_risk+va_risk+pr_risk+bd_risk,4,0.4,1.0,0.12,39.5,63.9,74.23024989854203,34.76
rl_risk+va_risk+pr_risk+bd_risk,4,0.45,1.0,0.02,4.5,10.86,40.95119534274915,4.41
rl_risk+va_risk+pr_risk+bd_risk,4,0.5,1.0,0.0,-22.0,-13.03,29.279499654194915,-22.0
rl_risk+va_risk+pr_risk+bd_risk,4,0.55,1.0,0.0,-31.0,-28.41,16.27150576928884,-31.0
rl_risk+va_risk+pr_risk+bd_risk,4,0.6,1.0,0.0,-37.5,-38.39,11.229332126177408,-37.5
rl_risk+va_risk+pr_risk+bd_risk,4,0.65,1.0,0.0,-46.0,-48.11,13.391710122310743,-46.0
rl_risk+va_risk+pr_risk+bd_risk,4,0.7,1.0,0.0,-60.0,-64.04,18.342802403122594,-60.0
rl_risk+va_risk+pr_risk+bd_risk,4,0.75,1.0,0.0,-94.0,-90.67,22.697160615372134,-94.0
rl_risk+va_risk+pr_risk+bd_risk,4,0.8,1.0,0.0,-137.5,-135.36,21.399775699759097,-137.5
rl_risk+va_risk+pr_risk+bd_risk,4,0.85,0.26,0.0,-173.5,-172.80769230769232,5.015508493043052,-173.5
rl_risk+va_risk+pr_risk+bd_risk,4,0.9,0.0,0.0,,,,
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.3,1.0,0.92,239.0,230.74,65.35359515742037,19.11999999999999
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.35,1.0,0.45,171.0,167.23,83.45104612885329,94.05000000000001
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.4,1.0,0.13,81.0,102.24,78.2322337658845,70.47
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.45,1.0,0.02,30.5,43.39,51.937249638385744,29.89
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.5,1.0,0.0,1.5,5.64,31.97890554725099,1.5
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.55,1.0,0.0,-22.0,-15.76,23.07428005377416,-22.0
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.6,1.0,0.0,-31.0,-28.56,16.380671536905925,-31.0
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.65,1.0,0.0,-38.0,-38.63,10.47440213090943,-38.0
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.7,1.0,0.0,-47.5,-48.97,12.871250910459324,-47.5
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.75,1.0,0.0,-62.5,-66.86,17.709330873864207,-62.5
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.8,1.0,0.0,-101.0,-100.01,23.729515376425198,-101.0
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.85,0.93,0.0,-152.0,-149.90322580645162,17.783080345750566,-152.0
ac_risk+rl_risk+va_risk+pr_risk+bd_risk,5,0.9,0.0,0.0,,,,
