seed,probe_index,mean_risk,va_risk,ac_risk,true_recovery_time
0,120,0.2231726692188066,0.0,0.3529235884625874,200.0
0,170,0.21562946247924283,0.1789537668613428,0.40685556564580194,200.0
0,220,0.15879696288945788,0.0,0.40822914678258515,200.0
0,270,0.290907413065415,0.36964529339045216,0.4734677987227398,200.0
0,320,0.22862830942058424,0.0,0.49435418079427884,200.0
0,370,0.2909338699263821,0.0,0.48603041135330183,200.0
0,420,0.4446787932688153,0.6499318560422644,0.548295865076025,200.0
0,470,0.7179385723042472,0.750939212138089,0.9123550495021209,200.0
1,120,0.17692953630660685,0.0,0.2088614323153487,200.0
1,170,0.18724737654695478,0.31895058579893265,0.22857675492176832,200.0
1,220,0.1567613483685431,0.11478122551612302,0.2672231218735316,200.0
1,270,0.19205488063419243,0.0,0.26660623192337796,200.0
1,320,0.29865229052771936,0.4888242794683345,0.30176536289624467,200.0
1,370,0.21085485071753363,0.0,0.414181360845844,200.0
1,420,0.31172568683649693,0.6546472299535822,0.5183713039700643,200.0
1,470,0.7904336266874828,0.8945685455853191,0.9512688348920448,200.0
2,120,0.13896041444517404,0.0,0.28863853195587375,1493.5152233029678
2,170,0.16300272471574478,0.0,0.3274240019474487,2933.225804456814
2,220,0.2067496464116906,0.18557777374380602,0.25377149222703266,200.0
2,270,0.4543518229193088,0.5243002434508834,0.4965533153649684,200.0
2,320,0.31835410847288576,0.07988799679053393,0.658655562081367,200.0
2,370,0.34341464554238066,0.0,0.6279517437811415,200.0
2,420,0.4432446462431739,0.5204720950330604,0.6695332861101057,200.0
2,470,0.6518203378240537,0.7600946316920709,0.8556863803203488,200.0
3,120,0.1678216341621494,0.11876970973382628,0.21755751369277299,200.0
3,170,0.19420135020764864,0.0,0.35436020588833794,200.0
3,220,0.21081788189880016,0.0129406787707389,0.5018838643840704,200.0
3,270,0.29685146016460384,0.19886510016704528,0.5539036520489143,200.0
3,320,0.29303368538703856,0.10105437901263037,0.5665936419417953,200.0
3,370,0.35399000464826047,0.3171113320348097,0.6105745783525494,200.0
3,420,0.49564275031457933,0.4199731999568618,0.7321679555133646,200.0
3,470,0.7538007024219964,0.8553288693456961,0.9242155283501045,200.0
4,120,0.2409629813628368,0.341543003076896,0.27854478855754683,200.0
4,170,0.24436329666673373,0.11236989358146077,0.45779789279094985,200.0
4,220,0.22147246061736608,0.0,0.42393557149107575,200.0
4,270,0.24939978654844727,0.07344938492189645,0.4737106225977792,200.0
4,320,0.3908959326510556,0.19866661869877122,0.5887951313409452,200.0
4,370,0.2976896189826664,0.0,0.5603348505682637,200.0
4,420,0.5328382951736595,0.7028484003835922,0.684384487982284,200.0
4,470,0.6899192364804805,0.7935720573371288,0.8830009773398841,200.0
5,120,0.2100770866200768,0.0,0.32486460244921056,1580.1411219370889
5,170,0.28911910433051424,0.31312324714181305,0.36938132822247094,200.0
5,220,0.23357661785812675,0.18998458561592235,0.3988481644763501,200.0
5,270,0.22686590588934114,0.058332382824299644,0.4848311728692606,200.0
5,320,0.35275518155904273,0.02882391254206529,0.6168154076961663,200.0
5,370,0.4416898002578741,0.4685529143163498,0.7235397400811733,200.0
5,420,0.3914643917996668,0.0,0.7616761862186434,200.0
5,470,0.7685594236209943,0.9015895944309654,0.9201969645725921,200.0
6,120,0.26203591264047793,0.3076752011715228,0.3555844941175784,465.1386600445137
6,170,0.18848089137148719,0.0,0.40939090752876084,200.0
6,220,0.29815176322660575,0.2605365629596902,0.5271670672218239,1396.5524492661357
6,270,0.35411694199188937,0.0,0.6166782561255894,200.0
6,320,0.30565938329915654,0.1368272959737198,0.5416885754392654,200.0
6,370,0.350956698471231,0.2754636084996659,0.5811098533122642,200.0
6,420,0.406666374711664,0.4827251823587976,0.6040077613697568,200.0
6,470,0.7553395598027386,0.8837955083166473,0.9320334072209764,200.0
7,120,0.16755161158619117,0.0,0.2759822214758727,200.0
7,170,0.16788562036552862,0.031117066360521473,0.26388544475178677,200.0
7,220,0.2808674778322568,0.32574571405993913,0.4034148234463597,200.0
7,270,0.33626423927646293,0.17218206761497723,0.5979956024054973,200.0
7,320,0.36090622660425414,0.0,0.5920847445911728,200.0
7,370,0.3769419852879071,0.2953655317353112,0.5565936703252017,200.0
7,420,0.3502173123397393,0.5091184448916548,0.5796289661536357,200.0
7,470,0.5633774020235441,0.6352614249029594,0.795403024467621,200.0
8,120,0.19262861881947066,0.0,0.2895232495283051,200.0
8,170,0.15596275578276952,0.0,0.2694109506914091,200.0
8,220,0.2957300912399313,0.37070726653884145,0.4647345430184001,904.0513479524159
8,270,0.2841288265119262,0.0,0.5216774764474418,200.0
8,320,0.3908763731400128,0.29596750745524647,0.5736823554374625,200.0
8,370,0.33095465245305855,0.0,0.6497625156588247,200.0
8,420,0.45674279621408626,0.6755216390668819,0.6540734236360618,200.0
8,470,0.6729611180639141,0.6100024328770715,0.890325658962063,200.0
9,120,0.22264214879371505,0.2775021274730106,0.11580025357774626,200.0
9,170,0.13463391353729523,0.0,0.1930185623190308,1834.1574338024002
9,220,0.22829938345196474,0.10909879274808454,0.34820593697885593,200.0
9,270,0.4578686072865358,0.5644500019288263,0.63994989170843,200.0
9,320,0.33646031632737833,0.0,0.7010104623203498,200.0
9,370,0.40224459888550596,0.33822067889743346,0.6674237053192266,200.0
9,420,0.4610509415847003,0.47555435002018076,0.7136445183762685,200.0
9,470,0.6828831109178604,0.8341669922253178,0.869969874666106,200.0
10,120,0.2516530820708637,0.0,0.324007893943436,200.0
10,170,0.35138510339905554,0.3575344652523146,0.3981616302039923,200.0
10,220,0.3115547332938413,0.267369902018915,0.5247662991328317,1124.5085930361868
10,270,0.2829884770674272,0.0,0.5841763675798827,200.0
10,320,0.4038970367470681,0.49062273682372004,0.6289240942435524,200.0
10,370,0.29142739629006825,0.0,0.6032051430370836,200.0
10,420,0.5021994541235928,0.7749301585137597,0.6031069346734393,200.0
10,470,0.700670573418822,0.7308041125917741,0.8983793691568849,200.0
11,120,0.24762643817014082,0.29597075842695775,0.2851553571052643,200.0
11,170,0.21761042977963294,0.10746673988477251,0.41405751440345495,200.0
11,220,0.26624926055207354,0.0,0.514471387647478,200.0
11,270,0.42782003560788534,0.5869201079022992,0.5581645041678502,200.0
11,320,0.27853107346135636,0.0,0.5606712319496023,200.0
11,370,0.3250405907377991,0.3861946480914964,0.5254407020512802,200.0
11,420,0.3037453517561833,0.07680452998581055,0.600263007682796,200.0
